order,episode_uid,fast_vehicle_response_split,image_path,source_image_path,copied,error,condition_context_cn,condition_score_peak,body_attitude_score_simple,steer_rate_peak_near,steer_delta_prepost,peak_abs_ay_window,peak_abs_yaw_rate_window,peak_abs_roll_rate_window,peak_abs_roll_window
11,V03_yzy_2025_09_27_15_07_57_0017,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\011_062_V03_yzy_2025_09_27_15_07_57_0017_低附着_rate5.4_delta-0.32.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\01_再看_快速转向但形态不清_需要判断是否只是抖动\062_V03_yzy_2025_09_27_15_07_57_0017_低附着_rate5.4_delta-0.32.png,True,,低附着,2.5820225776792265,1.5186430833333335,5.375600000004892,-0.3199188,1.69588,0.059476,0.0724075,0.0222953
12,V03_zxy_2025_09_28_16_01_55_N000,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\012_031_V03_zxy_2025_09_28_16_01_55_N000_普通驾驶对照_rate4.3_delta0.39.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\031_V03_zxy_2025_09_28_16_01_55_N000_普通驾驶对照_rate4.3_delta0.39.png,True,,普通驾驶对照,1.9237192647159351,1.4877710833333335,4.328400000003936,0.392525,1.35581,0.0549589,0.0825097,0.0203387
13,V03_hzh_2025_09_27_19_22_27_0013,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\013_020_V03_hzh_2025_09_27_19_22_27_0013_低附着_rate6.1_delta0.44.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\020_V03_hzh_2025_09_27_19_22_27_0013_低附着_rate6.1_delta0.44.png,True,,低附着,2.7528623078609336,1.4761585000000002,6.143600000005592,0.4380772,1.58092,0.0637159,0.0710331,0.0199562
14,V03_zxy_2025_09_28_16_12_11_0005,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\014_046_V03_zxy_2025_09_28_16_12_11_0005_低附着_rate6.6_delta-0.40.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\01_再看_快速转向但形态不清_需要判断是否只是抖动\046_V03_zxy_2025_09_28_16_12_11_0005_低附着_rate6.6_delta-0.40.png,True,,低附着,2.433658497958931,1.4502125,6.562600000005967,-0.4003782,1.36157,0.0528602,0.0775821,0.0213664
15,V03_lxy_2025_09_28_18_19_35_0008,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\015_047_V03_lxy_2025_09_28_18_19_35_0008_低附着_rate5.2_delta0.47.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\01_再看_快速转向但形态不清_需要判断是否只是抖动\047_V03_lxy_2025_09_28_18_19_35_0008_低附着_rate5.2_delta0.47.png,True,,低附着,7.887278981544991,1.4490878333333337,5.166200000004703,0.471588,1.37394,0.0542468,0.0758428,0.0216834
16,V03_gzj_2025_09_27_12_28_14_0006,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\016_017_V03_gzj_2025_09_27_12_28_14_0006_低附着_rate5.1_delta0.53.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\017_V03_gzj_2025_09_27_12_28_14_0006_低附着_rate5.1_delta0.53.png,True,,低附着,8.595152573301814,1.446942,5.096366000004635,0.532849,1.30548,0.0626727,0.0748308,0.0199114
17,V03_xst_2025_09_26_11_34_18_0012,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\017_037_V03_xst_2025_09_26_11_34_18_0012_低附着_rate9.9_delta0.31.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\01_再看_快速转向但形态不清_需要判断是否只是抖动\037_V03_xst_2025_09_26_11_34_18_0012_低附着_rate9.9_delta0.31.png,True,,低附着,3.956002405230945,1.4407948333333336,9.878640000008987,0.313112,1.43463,0.0509896,0.0747238,0.0220978
18,V03_txj_2025_09_27_08_53_44_0018,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\018_033_V03_txj_2025_09_27_08_53_44_0018_低附着_rate4.2_delta-0.37.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\033_V03_txj_2025_09_27_08_53_44_0018_低附着_rate4.2_delta-0.37.png,True,,低附着,2.2621153946733323,1.4195333333333335,4.223800000003841,-0.3747225,1.45483,0.0529548,0.0768892,0.017844
19,V03_jy_2025_09_26_17_29_44_0010,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\019_008_V03_jy_2025_09_26_17_29_44_0010_低附着_rate7.2_delta0.58.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\008_V03_jy_2025_09_26_17_29_44_0010_低附着_rate7.2_delta0.58.png,True,,低附着,3.8333541646628,1.4175735833333334,7.155840000006507,0.578752,1.31545,0.0821633,0.0618724,0.0182451
20,V03_txj_2025_09_27_08_53_44_0016,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\020_023_V03_txj_2025_09_27_08_53_44_0016_低附着_rate5.0_delta-0.36.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\023_V03_txj_2025_09_27_08_53_44_0016_低附着_rate5.0_delta-0.36.png,True,,低附着,5.180286916959749,1.4145715833333332,5.026480000004572,-0.3644247,1.36931,0.042273,0.0782167,0.0222031
21,V03_yzy_2025_09_27_14_26_04_0020,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\021_077_V03_yzy_2025_09_27_14_26_04_0020_低附着_rate4.2_delta-0.25.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\01_再看_快速转向但形态不清_需要判断是否只是抖动\077_V03_yzy_2025_09_27_14_26_04_0020_低附着_rate4.2_delta-0.25.png,True,,低附着,2.186954537475588,1.3933711666666666,4.153880000003777,-0.2515016,1.35644,0.0510433,0.073142,0.020588
22,V03_rjy_2025_09_28_19_33_26_0009,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\022_042_V03_rjy_2025_09_28_19_33_26_0009_低附着_rate7.5_delta-0.26.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\01_再看_快速转向但形态不清_需要判断是否只是抖动\042_V03_rjy_2025_09_28_19_33_26_0009_低附着_rate7.5_delta-0.26.png,True,,低附着,2.8381985959142826,1.36272125,7.539820000006857,-0.2597049999999999,1.39201,0.0500421,0.0743118,0.0171875
23,V03_zdq_2025_09_26_15_27_09_0020,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\023_053_V03_zdq_2025_09_26_15_27_09_0020_低附着_rate4.1_delta0.86.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\01_再看_快速转向但形态不清_需要判断是否只是抖动\053_V03_zdq_2025_09_26_15_27_09_0020_低附着_rate4.1_delta0.86.png,True,,低附着,1.6536645818356974,1.210054016666667,4.06659999998058,0.860447,0.827073,0.0989118,0.0497213,0.0108589
24,V03_xst_2025_09_26_11_34_18_0009,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\024_036_V03_xst_2025_09_26_11_34_18_0009_低附着_rate8.4_delta1.33.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\01_再看_快速转向但形态不清_需要判断是否只是抖动\036_V03_xst_2025_09_26_11_34_18_0009_低附着_rate8.4_delta1.33.png,True,,低附着,3.263057840215964,0.7992199249999999,8.412400000007638,1.327499,0.527084,0.113043,0.011823,0.00240505
25,V03_rjy_2025_09_28_19_49_06_0001,FAST_STEER_BODY_RESPONSE_BOUNDARY,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\01_快速转向但车辆响应边界_需要人工判断\025_003_V03_rjy_2025_09_28_19_49_06_0001_低附着_rate8.4_delta0.54.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\003_V03_rjy_2025_09_28_19_49_06_0001_低附着_rate8.4_delta0.54.png,True,,低附着,8.753559236727872,1.6720486666666663,8.447459999995676,0.5386085,1.89245,0.0745289,0.0675302,0.028653
26,V03_xst_2025_09_26_11_34_18_0022,FAST_STEER_BODY_RESPONSE_BOUNDARY,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\01_快速转向但车辆响应边界_需要人工判断\026_043_V03_xst_2025_09_26_11_34_18_0022_低附着_rate6.9_delta-0.32.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\01_再看_快速转向但形态不清_需要判断是否只是抖动\043_V03_xst_2025_09_26_11_34_18_0022_低附着_rate6.9_delta-0.32.png,True,,低附着,4.310268401766841,1.5307789166666668,6.8766000000062535,-0.3191334999999999,1.81468,0.0784715,0.0575423,0.0236773
27,V03_txj_2025_09_27_09_17_11_0027,FAST_STEER_BODY_RESPONSE_BOUNDARY,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\01_快速转向但车辆响应边界_需要人工判断\027_009_V03_txj_2025_09_27_09_17_11_0027_低附着_rate7.3_delta-0.36.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\009_V03_txj_2025_09_27_09_17_11_0027_低附着_rate7.3_delta-0.36.png,True,,低附着,7.193292709149193,1.4773683333333334,7.295400000006637,-0.360585,1.74233,0.0690168,0.060169,0.0225928
28,V03_byx_2025_09_28_17_25_18_0014,FAST_STEER_BODY_RESPONSE_BOUNDARY,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\01_快速转向但车辆响应边界_需要人工判断\028_055_V03_byx_2025_09_28_17_25_18_0014_低附着_rate5.6_delta-0.36.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\01_再看_快速转向但形态不清_需要判断是否只是抖动\055_V03_byx_2025_09_28_17_25_18_0014_低附着_rate5.6_delta-0.36.png,True,,低附着,2.513531663852984,1.4752748333333332,5.550200000005048,-0.3618945,1.77316,0.0622769,0.0604045,0.024471
29,V03_cwh_2025_09_26_19_56_16_0006,FAST_STEER_BODY_RESPONSE_BOUNDARY,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\01_快速转向但车辆响应边界_需要人工判断\029_065_V03_cwh_2025_09_26_19_56_16_0006_低附着_rate4.9_delta0.35.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\01_再看_快速转向但形态不清_需要判断是否只是抖动\065_V03_cwh_2025_09_26_19_56_16_0006_低附着_rate4.9_delta0.35.png,True,,低附着,3.4907331748666866,1.4553531666666666,4.852020000004411,0.3467975,1.84241,0.0655569,0.052778,0.0255416
30,V03_lxy_2025_09_28_18_19_35_0015,FAST_STEER_BODY_RESPONSE_BOUNDARY,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\01_快速转向但车辆响应边界_需要人工判断\030_027_V03_lxy_2025_09_28_18_19_35_0015_低附着_rate4.3_delta-0.52.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\027_V03_lxy_2025_09_28_18_19_35_0015_低附着_rate4.3_delta-0.52.png,True,,低附着,3.79559692270362,1.403873,4.258600000003875,-0.5172289999999999,1.84064,0.054686,0.0495567,0.0279474
31,V03_zx_2025_09_27_17_45_11_0010,FAST_STEER_BODY_RESPONSE_BOUNDARY,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\01_快速转向但车辆响应边界_需要人工判断\031_024_V03_zx_2025_09_27_17_45_11_0010_低附着_rate4.2_delta-0.46.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\024_V03_zx_2025_09_27_17_45_11_0010_低附着_rate4.2_delta-0.46.png,True,,低附着,6.540301534760705,1.37892225,4.154000000003775,-0.46495614,1.78459,0.0583056,0.0538734,0.0225225
32,V03_gzj_2025_09_27_12_28_14_0004,FAST_STEER_BODY_RESPONSE_BOUNDARY,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\01_快速转向但车辆响应边界_需要人工判断\032_025_V03_gzj_2025_09_27_12_28_14_0004_低附着_rate5.1_delta-0.45.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\025_V03_gzj_2025_09_27_12_28_14_0004_低附着_rate5.1_delta-0.45.png,True,,低附着,2.299170052312334,1.340531583333333,5.061400000004608,-0.4457569,1.38568,0.0605782,0.0632308,0.0186865
33,V03_gf_2025_09_26_10_18_49_0016,FAST_STEER_BODY_RESPONSE_BOUNDARY,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\01_快速转向但车辆响应边界_需要人工判断\033_022_V03_gf_2025_09_26_10_18_49_0016_低附着_rate5.4_delta0.41.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\022_V03_gf_2025_09_26_10_18_49_0016_低附着_rate5.4_delta0.41.png,True,,低附着,2.5906087401806737,1.3330735,5.375620000004888,0.412246,1.52955,0.0549387,0.0562473,0.0226994
34,V03_cwh_2025_09_26_19_56_16_0015,FAST_STEER_BODY_RESPONSE_BOUNDARY,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\01_快速转向但车辆响应边界_需要人工判断\034_026_V03_cwh_2025_09_26_19_56_16_0015_低附着_rate4.7_delta0.48.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\026_V03_cwh_2025_09_26_19_56_16_0015_低附着_rate4.7_delta0.48.png,True,,低附着,3.160345898164616,1.32763175,4.677482000004255,0.4785695,1.58425,0.0527536,0.0535506,0.0240607
35,V03_zt_2025_09_28_11_20_08_0001,FAST_STEER_BODY_RESPONSE_BOUNDARY,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\01_快速转向但车辆响应边界_需要人工判断\035_073_V03_zt_2025_09_28_11_20_08_0001_低附着_rate4.2_delta0.32.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\01_再看_快速转向但形态不清_需要判断是否只是抖动\073_V03_zt_2025_09_28_11_20_08_0001_低附着_rate4.2_delta0.32.png,True,,低附着,3.0224007552889547,1.2946467499999998,4.153879999997875,0.3185219999999999,1.57528,0.0560134,0.0511803,0.0218417
