sample_id,event_uid,subject,session_stamp,window_config_id,default_split,random_event_split,session_level_split,subject_level_split,event_type,event_level,road_type_anchor,road_design_risk_class,label_end_rel_s,event_end_rel_s,event_duration_s,label_valid_ratio,gt_peak_abs,gt_peak_signed,gt_peak_time_s,gt_peak_direction,gt_reversal_count,gt_tail_abs,gt_tail_signed,gt_tail_over_peak,gt_peak_near_label_end,gt_tail_unsettled,label_response_unsettled_flag,event_duration_exceeds_label,post2_range_abs,post2_change_from_2s_abs,post2_substantial_change
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,strong_active,curve,design_curve_context,2.0,150.435,19.29,1.0,1.7027480602264404,-1.7027480602264404,2.0,-1,2,1.7027480602264404,-1.7027480602264404,1.0,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000164040__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000164040,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,2.0,201.975,37.935,1.0,1.257859230041504,1.257859230041504,1.4600000381469727,1,2,1.2107352018356323,1.2107352018356323,0.9625363259414039,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,strong_active,straight,design_special_event_segment,2.0,230.84,14.495,1.0,0.9564404487609863,-0.9564404487609863,1.6699999570846558,-1,1,0.9552194476127625,-0.9552194476127625,0.9987233903064162,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000263965__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000263965,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,train,test,train,test,instability_ay_roll,strong_active,curve,design_regular_road,2.0,284.705,20.74,1.0,0.36093398928642273,-0.36093398928642273,1.1100000143051147,-1,2,0.16580601036548615,0.16580601036548615,0.4593804276878705,False,False,False,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000287425__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000287425,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,train,val,train,test,instability_ay_roll,extreme_active,straight,design_curve_context,2.0,306.315,18.89,1.0,0.47211211919784546,-0.47211211919784546,2.0,-1,3,0.47211211919784546,-0.47211211919784546,1.0,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000319770__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000319770,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,extreme_active,straight,design_curve_context,2.0,337.25,17.48,1.0,0.41032660007476807,0.41032660007476807,1.2899999618530273,1,1,0.40753409266471863,0.40753409266471863,0.9931944275376234,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000341810__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000341810,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,strong_active,straight,design_regular_road,2.0,356.88,15.07,1.0,0.7436872720718384,0.7436872720718384,2.0,1,3,0.7436872720718384,0.7436872720718384,1.0,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000411920__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000411920,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,2.0,423.255,11.335,1.0,1.1828088760375977,1.1828088760375977,1.5,1,7,0.7382737994194031,0.7382737994194031,0.6241699858497982,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000450690__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000450690,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,train,test,train,test,instability_ay_roll,instability_medium,design_high_risk_surface,design_high_risk_surface,2.0,485.505,34.815,1.0,0.05899199843406677,0.05899199843406677,0.9200000166893005,1,1,0.03508099168539047,-0.03508099168539047,0.5946737289227323,False,False,False,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000517355__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000517355,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,instability_strong,design_high_risk_surface,design_high_risk_surface,2.0,531.225,13.87,1.0,0.16022101044654846,0.16022101044654846,1.9850000143051147,1,3,0.16022101044654846,0.16022101044654846,1.0,True,False,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000049910__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000049910,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,train,test,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,2.0,59.98,10.07,1.0,0.4670493006706238,-0.4670493006706238,1.2999999523162842,-1,4,0.42184531688690186,-0.42184531688690186,0.9032136784728835,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,instability_extreme,design_regular_road,design_regular_road,2.0,88.575,23.025,1.0,0.10297000408172607,0.10297000408172607,0.6549999713897705,1,1,0.042240023612976074,0.042240023612976074,0.41021678099041997,False,False,False,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000117195__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000117195,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,train,test,train,test,instability_ay_roll,strong_active,straight,design_regular_road,2.0,125.455,8.26,1.0,1.0007719993591309,1.0007719993591309,1.5750000476837158,1,2,0.9677850008010864,0.9677850008010864,0.9670384477391769,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,strong_active,curve,design_curve_context,2.0,182.655,18.505,1.0,1.3885834217071533,-1.3885834217071533,0.9549999833106995,-1,2,1.3863134384155273,-1.3863134384155273,0.9983652524895946,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000191805__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000191805,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,medium_active,straight,design_regular_road,2.0,202.025,10.22,1.0,0.3572689890861511,0.3572689890861511,1.9950000047683716,1,5,0.3572689890861511,0.3572689890861511,1.0,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000225005__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000225005,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,2.0,242.445,17.44,1.0,0.5108580589294434,0.5108580589294434,1.840000033378601,1,5,0.5068438649177551,0.5068438649177551,0.9921422517634343,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000248265__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000248265,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,extreme_active,straight,design_special_event_segment,2.0,255.715,7.45,1.0,2.4600415229797363,-2.4600415229797363,1.2400000095367432,-1,2,0.795868456363678,0.795868456363678,0.32351830199991044,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000265825__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000265825,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,instability_extreme,design_special_event_segment,design_special_event_segment,2.0,268.395,2.57,1.0,1.1597799062728882,1.1597799062728882,1.9950000047683716,1,0,1.1597799062728882,1.1597799062728882,1.0,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,instability_extreme,design_special_event_segment,design_special_event_segment,2.0,278.475,2.605,1.0,0.007510185241699219,0.007510185241699219,1.3949999809265137,1,0,0.001399993896484375,-0.001399993896484375,0.18641269841269842,False,False,False,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000283135__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000283135,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,train,val,train,test,instability_ay_roll,strong_active,straight,design_special_event_segment,2.0,285.31,2.175,1.0,1.6858099699020386,-1.6858099699020386,2.0,-1,0,1.6858099699020386,-1.6858099699020386,1.0,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000333065__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000333065,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,train,test,train,test,instability_ay_roll,extreme_active,curve,design_regular_road,2.0,352.555,19.49,1.0,0.9756389856338501,-0.9756389856338501,1.3049999475479126,-1,6,0.4333656430244446,0.4333656430244446,0.4441864761512138,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,strong_active,straight,design_regular_road,2.0,392.435,8.245,1.0,1.3728759288787842,1.3728759288787842,1.065000057220459,1,2,0.09703999757766724,0.09703999757766724,0.0706837344412608,False,False,False,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000401810__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000401810,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,weak,straight,design_regular_road,2.0,418.07,16.26,1.0,0.5010839700698853,-0.5010839700698853,1.9950000047683716,-1,1,0.5010839700698853,-0.5010839700698853,1.0,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000477025__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000477025,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,2.0,491.89,14.865,1.0,1.1794936656951904,1.1794936656951904,2.0,1,1,1.1794936656951904,1.1794936656951904,1.0,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000048035__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000048035,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,strong_active,straight,design_regular_road,2.0,55.5,7.465,1.0,0.8002340197563171,-0.8002340197563171,1.690000057220459,-1,2,0.7566000819206238,-0.7566000819206238,0.945473528044983,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,medium_active,straight,design_regular_road,2.0,80.815,1.9,1.0,0.761661171913147,0.761661171913147,0.9800000190734863,1,3,0.10489484667778015,-0.10489484667778015,0.13771851650820585,False,False,False,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000084125__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000084125,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,strong_active,straight,design_regular_road,2.0,94.88,10.755,1.0,0.16092000901699066,-0.16092000901699066,1.190000057220459,-1,1,0.16057001054286957,-0.16057001054286957,0.9978250158183614,False,False,False,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000097930__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000097930,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,medium_active,straight,design_regular_road,2.0,100.39,2.46,1.0,0.6209880113601685,-0.6209880113601685,1.940000057220459,-1,1,0.6168000102043152,-0.6168000102043152,0.993255906588792,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000104170__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000104170,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,train,test,train,test,instability_roll_only,weak,straight,design_regular_road,2.0,104.445,0.275,1.0,0.31119316816329956,0.31119316816329956,1.590000033378601,1,2,0.22427576780319214,0.22427576780319214,0.7206963093916726,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000110425__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000110425,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,2.0,115.115,4.69,1.0,2.1146390438079834,-2.1146390438079834,1.2699999809265137,-1,3,0.5071919560432434,0.5071919560432434,0.23984800504293452,False,False,False,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000118155__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000118155,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,train,val,train,test,instability_ay_roll,medium_active,straight,design_regular_road,2.0,134.4,16.245,1.0,0.3968881070613861,-0.3968881070613861,2.0,-1,1,0.3968881070613861,-0.3968881070613861,1.0,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000163465__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000163465,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,train,test,train,test,instability_ay_roll,strong_active,straight,design_curve_context,2.0,185.08,21.615,1.0,0.2504551410675049,-0.2504551410675049,2.0,-1,1,0.2504551410675049,-0.2504551410675049,1.0,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000194205__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000194205,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,extreme_active,curve,design_curve_context,2.0,196.685,2.48,1.0,0.7435100078582764,-0.7435100078582764,0.5849999785423279,-1,1,0.5501199960708618,-0.5501199960708618,0.7398958860762538,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,extreme_active,curve,design_curve_context,2.0,220.265,20.93,1.0,0.040490150451660156,-0.040490150451660156,1.065000057220459,-1,0,0.0342099666595459,-0.0342099666595459,0.8448960124361118,False,False,False,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,2.0,254.665,23.645,1.0,0.9894275069236755,-0.9894275069236755,0.9449999928474426,-1,3,0.5157445073127747,0.5157445073127747,0.5212554772368575,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000258300__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000258300,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,train,test,train,test,instability_ay_roll,strong_active,straight,design_regular_road,2.0,279.85,21.55,1.0,0.5928881764411926,0.5928881764411926,0.3499999940395355,1,3,0.4227187931537628,-0.4227187931537628,0.7129823294691582,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000284385__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000284385,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,strong_active,straight,design_special_event_segment,2.0,291.775,7.39,1.0,1.430467963218689,-1.430467963218689,1.690000057220459,-1,2,0.6977827548980713,-0.6977827548980713,0.48780033726025834,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,weak,straight,design_regular_road,2.0,355.955,26.13,1.0,0.241902694106102,-0.241902694106102,1.565000057220459,-1,1,0.241902694106102,-0.241902694106102,1.0,False,False,False,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000359875__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000359875,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,extreme_active,straight,design_curve_context,2.0,374.075,14.2,1.0,1.1491249799728394,1.1491249799728394,2.0,1,1,1.1491249799728394,1.1491249799728394,1.0,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000397655__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000397655,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,instability_strong,design_regular_road,design_regular_road,2.0,410.48,12.825,1.0,0.1946040391921997,0.1946040391921997,2.0,1,0,0.1946040391921997,0.1946040391921997,1.0,True,False,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000466090__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000466090,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,2.0,483.15,17.06,1.0,1.5961029529571533,1.5961029529571533,2.0,1,2,1.5961029529571533,1.5961029529571533,1.0,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000497615__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000497615,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,extreme_active,straight,design_high_risk_surface,2.0,501.005,3.39,1.0,0.446804016828537,-0.446804016828537,0.4449999928474426,-1,1,0.1769769936800003,0.1769769936800003,0.3960953505660089,False,False,False,True,,,False
