experiment,name_cn,split,train,val,test,window_incomplete_used,steering_rmse,wrong_side_rate,severe_under_amplitude_rate,large_response_recall,response_type_macro_f1,curve_type_macro_f1,keypoint_brake_onset_time_mae,keypoint_speed_drop_max_mae,keypoint_roll_peak_value_mae,keypoint_roll_rate_peak_value_mae,figure_count
G2_E5A_train_candidates_only,E5A 只用训练候选,test,73,22,13,1,0.2803073525428772,,,,0.4481481481481482,,0.6132816672325134,6.439138889312744,0.0208220388740301,0.2040323913097381,149
G2_E5A_train_candidates_only,E5A 只用训练候选,common_eval_all_clean,73,22,13,1,0.3127700090408325,,,,0.08,,0.711390495300293,22.49225425720215,0.0206758882850408,0.1393029987812042,149
G2_E5A_train_candidates_only,E5A 只用训练候选,common_eval_noncurve_clean,73,22,13,1,0.3240018486976623,,,,0.0625,,0.6694855690002441,22.49225425720215,0.0230928137898445,0.1668668538331985,149
G2_E5B_train_plus_all_clean_review,E5B 训练候选 + 全部 clean 待复核,train,130,33,35,9,0.4741095006465912,0.1818181818181818,0.3939393939393939,0.8787878787878788,0.8054087438997225,,0.310873419046402,11.183025360107422,0.0193885583430528,0.1203312650322914,247
G2_E5B_train_plus_all_clean_review,E5B 训练候选 + 全部 clean 待复核,val,130,33,35,9,0.445869117975235,0.5,0.375,0.75,0.3433855799373041,,0.2591294944286346,11.496590614318848,0.0328028425574302,0.1575167030096054,247
G2_E5B_train_plus_all_clean_review,E5B 训练候选 + 全部 clean 待复核,test,130,33,35,9,0.2471386939287185,,,,0.4278388278388278,,0.3937012255191803,17.635330200195312,0.0146734779700636,0.1414289474487304,247
G2_E5B_train_plus_all_clean_review,E5B 训练候选 + 全部 clean 待复核,common_eval_all_clean,130,33,35,9,0.3019939064979553,,,,0.3,,0.6287043690681458,19.68238639831543,0.0178497545421123,0.1286058723926544,247
G2_E5B_train_plus_all_clean_review,E5B 训练候选 + 全部 clean 待复核,common_eval_noncurve_clean,130,33,35,9,0.2973915636539459,,,,0.3541666666666666,,0.6469151377677917,19.68238639831543,0.0195890516042709,0.1493992209434509,247
G2_E5C_train_plus_stratified_clean_review,E5C 训练候选 + 分层 clean 待复核,train,128,33,32,9,0.4137186110019684,0.09375,0.375,0.875,0.8748935717326521,,0.2722551822662353,10.436755180358888,0.0183437187224626,0.1139474213123321,245
G2_E5C_train_plus_stratified_clean_review,E5C 训练候选 + 分层 clean 待复核,val,128,33,32,9,0.4251865148544311,0.375,0.375,0.875,0.4527969348659004,,0.3462284505367279,11.44285488128662,0.0309467278420925,0.1946917921304702,245
G2_E5C_train_plus_stratified_clean_review,E5C 训练候选 + 分层 clean 待复核,test,128,33,32,9,0.2323224395513534,,,,0.4781209781209781,,0.4615058004856109,19.02925491333008,0.0226852670311927,0.1460724920034408,245
G2_E5C_train_plus_stratified_clean_review,E5C 训练候选 + 分层 clean 待复核,common_eval_all_clean,128,33,32,9,0.3100982904434204,,,,0.2833333333333333,,0.6425780057907104,20.638019561767575,0.0171110518276691,0.1269902437925338,245
G2_E5C_train_plus_stratified_clean_review,E5C 训练候选 + 分层 clean 待复核,common_eval_noncurve_clean,128,33,32,9,0.2756121456623077,,,,0.4404761904761904,,0.704871416091919,20.638019561767575,0.0195126384496688,0.1552466452121734,245
