episode_uid,anchor_timing_label,image_path,source_image_path,copied,error,pre_over_post_steer_rate_ratio,pre_over_post_vehicle_dyn_ratio,pre_steer_rate_peak_time_rel,pre_vehicle_dyn_peak_time_rel
V03_byx_2025_09_28_17_25_18_0017,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\005_072_076_V03_byx_2025_09_28_17_25_18_0017_低附着_rate4.2_delta0.26.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\072_076_V03_byx_2025_09_28_17_25_18_0017_低附着_rate4.2_delta0.26.png,True,,3.473300165837479,5.470137207425344,-2.6610000000000014,-2.4049999999999727
V03_zxy_2025_09_28_16_01_55_0006,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\006_055_041_V03_zxy_2025_09_28_16_01_55_0006_低附着_rate7.0_delta-0.37.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\055_041_V03_zxy_2025_09_28_16_01_55_0006_低附着_rate7.0_delta-0.37.png,True,,3.2191603419002246,2.221023940593847,-2.6289999999999907,-3.7349999999999994
V03_txj_2025_09_27_08_53_44_0018,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\007_018_033_V03_txj_2025_09_27_08_53_44_0018_低附着_rate4.2_delta-0.37.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\018_033_V03_txj_2025_09_27_08_53_44_0018_低附着_rate4.2_delta-0.37.png,True,,3.1239168521236795,1.064171561155533,-3.134999999999991,-2.4470000000000027
V03_zx_2025_09_27_18_00_08_0010,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\008_066_052_V03_zx_2025_09_27_18_00_08_0010_低附着_rate5.8_delta-0.25.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\066_052_V03_zx_2025_09_27_18_00_08_0010_低附着_rate5.8_delta-0.25.png,True,,2.7499904507257353,0.6068555563465509,-0.8700000000000045,-0.4479999999999791
V03_zxy_2025_09_28_16_12_11_N000,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\009_075_004_V03_zxy_2025_09_28_16_12_11_N000_普通驾驶对照_rate7.6_delta-1.03.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\075_004_V03_zxy_2025_09_28_16_12_11_N000_普通驾驶对照_rate7.6_delta-1.03.png,True,,2.658468418110617,1.311860886486891,-2.424,-2.945
V03_zx_2025_09_27_16_32_00_0015,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\010_070_045_V03_zx_2025_09_27_16_32_00_0015_低附着_rate5.7_delta-0.42.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\070_045_V03_zx_2025_09_27_16_32_00_0015_低附着_rate5.7_delta-0.42.png,True,,2.382399730353828,1.6724921472966654,-1.620000000000033,-1.441000000000031
V03_txj_2025_09_27_09_06_19_0005,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\011_068_064_V03_txj_2025_09_27_09_06_19_0005_低附着_rate5.5_delta0.28.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\068_064_V03_txj_2025_09_27_09_06_19_0005_低附着_rate5.5_delta0.28.png,True,,2.378728428070422,3.7298416268960697,-1.3549999999999898,-2.0139999999999816
V03_zt_2025_09_28_11_20_08_0013,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\012_064_048_V03_zt_2025_09_28_11_20_08_0013_低附着_rate7.0_delta0.26.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\064_048_V03_zt_2025_09_28_11_20_08_0013_低附着_rate7.0_delta0.26.png,True,,2.2840484406536863,1.1528678153152105,-0.34000000000003183,-3.3969999999999914
V03_hzh_2025_09_27_19_22_27_0013,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\013_013_020_V03_hzh_2025_09_27_19_22_27_0013_低附着_rate6.1_delta0.44.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\013_020_V03_hzh_2025_09_27_19_22_27_0013_低附着_rate6.1_delta0.44.png,True,,2.063597062346999,0.9877930148057736,-3.6049999999999613,-3.4420000000000073
V03_yyl_2025_09_28_09_29_01_0007,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\014_036_018_V03_yyl_2025_09_28_09_29_01_0007_低附着_rate5.3_delta0.57.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\01_快速转向但车辆响应边界_需要人工判断\036_018_V03_yyl_2025_09_28_09_29_01_0007_低附着_rate5.3_delta0.57.png,True,,2.053964075565193,1.5911825343325148,-1.8389999999999986,-3.7050000000000125
V03_cwh_2025_09_26_19_56_16_0006,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\015_029_065_V03_cwh_2025_09_26_19_56_16_0006_低附着_rate4.9_delta0.35.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\01_快速转向但车辆响应边界_需要人工判断\029_065_V03_cwh_2025_09_26_19_56_16_0006_低附着_rate4.9_delta0.35.png,True,,2.043988541578904,1.1170775701997044,-0.549999999999983,-0.6209999999999809
V03_lxy_2025_09_28_17_55_52_0004,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\016_042_075_V03_lxy_2025_09_28_17_55_52_0004_低附着_rate4.0_delta-0.35.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\01_快速转向但车辆响应边界_需要人工判断\042_075_V03_lxy_2025_09_28_17_55_52_0004_低附着_rate4.0_delta-0.35.png,True,,2.0175144093812265,2.0885256385659288,-2.1359999999999957,-1.6099999999999994
V03_tyy_2025_09_28_14_44_09_N000,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\017_076_030_V03_tyy_2025_09_28_14_44_09_N000_普通驾驶对照_rate4.7_delta0.43.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\076_030_V03_tyy_2025_09_28_14_44_09_N000_普通驾驶对照_rate4.7_delta0.43.png,True,,1.9155254642145272,1.6308428848768113,-1.354,-1.775
V03_yyl_2025_09_28_09_49_11_0009,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\018_069_072_V03_yyl_2025_09_28_09_49_11_0009_低附着_rate4.3_delta-0.29.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\069_072_V03_yyl_2025_09_28_09_49_11_0009_低附着_rate4.3_delta-0.29.png,True,,1.8923099977081614,1.7820827421013579,-2.299999999999983,-2.0859999999999843
V03_txj_2025_09_27_09_06_19_N001,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\019_046_059_V03_txj_2025_09_27_09_06_19_N001_普通驾驶对照_rate5.6_delta-0.34.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\046_059_V03_txj_2025_09_27_09_06_19_N001_普通驾驶对照_rate5.6_delta-0.34.png,True,,1.8705385128713266,0.8165930103202484,-2.281000000000006,-2.1100000000000136
V03_lxy_2025_09_28_18_19_35_0015,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\020_030_027_V03_lxy_2025_09_28_18_19_35_0015_低附着_rate4.3_delta-0.52.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\01_快速转向但车辆响应边界_需要人工判断\030_027_V03_lxy_2025_09_28_18_19_35_0015_低附着_rate4.3_delta-0.52.png,True,,1.714276719660003,1.3202710741915855,-3.9039999999999964,-1.285000000000025
V03_gzj_2025_09_27_12_17_12_0015,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\021_044_057_V03_gzj_2025_09_27_12_17_12_0015_低附着_rate4.4_delta0.30.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\044_057_V03_gzj_2025_09_27_12_17_12_0015_低附着_rate4.4_delta0.30.png,True,,1.6363702656447645,1.6770636180259089,-0.7099999999999795,-0.549000000000035
V03_yzy_2025_09_27_15_07_57_0020,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\022_051_066_V03_yzy_2025_09_27_15_07_57_0020_低附着_rate5.0_delta0.28.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\051_066_V03_yzy_2025_09_27_15_07_57_0020_低附着_rate5.0_delta0.28.png,True,,1.5888846447669973,0.8969720368429762,-0.771000000000015,-0.5749999999999886
V03_yzy_2025_09_27_15_07_57_0017,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\023_011_062_V03_yzy_2025_09_27_15_07_57_0017_低附着_rate5.4_delta-0.32.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\011_062_V03_yzy_2025_09_27_15_07_57_0017_低附着_rate5.4_delta-0.32.png,True,,1.5247333787156798,0.7494825812243208,-1.1750000000000114,-0.7040000000000077
V03_zxy_2025_09_28_16_12_11_0000,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\024_059_058_V03_zxy_2025_09_28_16_12_11_0000_低附着_rate5.4_delta0.31.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\059_058_V03_zxy_2025_09_28_16_12_11_0000_低附着_rate5.4_delta0.31.png,True,,1.4807591659091541,0.9191687620174529,-2.3200000000000003,-2.9259999999999984
V03_zxy_2025_09_28_16_01_55_N000,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\025_012_031_V03_zxy_2025_09_28_16_01_55_N000_普通驾驶对照_rate4.3_delta0.39.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\012_031_V03_zxy_2025_09_28_16_01_55_N000_普通驾驶对照_rate4.3_delta0.39.png,True,,1.4796647987441598,1.285702610224408,-3.194000000000017,-3.1200000000000045
V03_gzj_2025_09_27_12_28_14_0006,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\026_016_017_V03_gzj_2025_09_27_12_28_14_0006_低附着_rate5.1_delta0.53.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\016_017_V03_gzj_2025_09_27_12_28_14_0006_低附着_rate5.1_delta0.53.png,True,,1.4589022844905566,1.5341009317019194,-3.2620000000000005,-2.6399999999999864
V03_gf_2025_09_26_10_03_00_0002,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\027_065_050_V03_gf_2025_09_26_10_03_00_0002_低附着_rate5.7_delta-0.46.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\065_050_V03_gf_2025_09_26_10_03_00_0002_低附着_rate5.7_delta-0.46.png,True,,1.3719256567915055,1.4937657526342958,-2.761000000000003,-2.965
V03_zxy_2025_09_28_16_12_11_0003,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\028_007_007_V03_zxy_2025_09_28_16_12_11_0003_低附着_rate7.5_delta0.57.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\007_007_V03_zxy_2025_09_28_16_12_11_0003_低附着_rate7.5_delta0.57.png,True,,1.250008328058896,0.9814122345747412,-1.9000000000000057,-0.7560000000000002
V03_xst_2025_09_26_11_34_18_0015,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\029_060_056_V03_xst_2025_09_26_11_34_18_0015_低附着_rate5.7_delta0.31.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\060_056_V03_xst_2025_09_26_11_34_18_0015_低附着_rate5.7_delta0.31.png,True,,1.2183877766069537,0.7757774698392186,-3.998999999999967,-0.714999999999975
V03_zxy_2025_09_28_16_12_11_0014,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\030_056_069_V03_zxy_2025_09_28_16_12_11_0014_低附着_rate4.7_delta-0.26.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\056_069_V03_zxy_2025_09_28_16_12_11_0014_低附着_rate4.7_delta-0.26.png,True,,1.1940361049111914,1.2252729719087598,-2.533999999999992,-3.599999999999966
V03_hzh_2025_09_27_19_22_27_0002,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\031_002_054_V03_hzh_2025_09_27_19_22_27_0002_低附着_rate4.5_delta0.63.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\002_054_V03_hzh_2025_09_27_19_22_27_0002_低附着_rate4.5_delta0.63.png,True,,1.1926451185601414,0.6309335158867999,-1.1300000000000097,-2.497
