annotation_id,subject,session_stamp,review_png,source_candidate_event_uid,candidate_anchor_source,candidate_anchor_time_rel_s,candidate_event_start_rel_s,candidate_event_end_rel_s,candidate_event_type,candidate_event_level,manual_include_for_dataset,manual_event_start_rel_s,manual_event_end_rel_s,manual_anchor_rel_s,manual_event_type,manual_direction,manual_confidence_1_5,manual_reason_or_notes
ann_rjy_2025_09_28_20_02_20_0011,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00006,old_v400_context_trigger_idx,75.64,74.44,76.47,context_residual,weak,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0012,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00006,raw_vehicle_dynamic_onset,95.015,95.015,102.26,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0013,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00007,old_v400_context_trigger_idx,98.25,97.05,100.05,context_residual,strong_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0014,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00008,old_v400_context_trigger_idx,101.96,100.76,103.505,context_residual,weak,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0015,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00007,raw_vehicle_dynamic_onset,137.355,137.355,145.585,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0016,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00009,old_v400_context_trigger_idx,138.135,136.935,139.935,context_residual,extreme_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0017,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_road_curvature_onset__rjy__2025_09_28_20_02_20__00001,raw_road_curvature_onset,138.565,138.565,290.71,curve_left_or_positive,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0018,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00010,old_v400_context_trigger_idx,140.97,139.77,142.29,context_residual,extreme_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0019,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00008,raw_vehicle_dynamic_onset,146.505,146.505,149.555,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0020,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00011,old_v400_context_trigger_idx,146.695,146.665,148.495,context_residual,strong_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0021,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00012,old_v400_context_trigger_idx,148.585,147.385,150.385,context_residual,extreme_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0022,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00009,raw_vehicle_dynamic_onset,149.945,149.945,150.54500000000002,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0023,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00010,raw_vehicle_dynamic_onset,153.3,153.3,153.54,steer_rate,strong,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0024,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00013,old_v400_context_trigger_idx,153.315,152.115,155.115,context_residual,medium_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0025,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00011,raw_vehicle_dynamic_onset,153.935,153.935,155.115,steer_rate,strong,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0026,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00014,old_v400_context_trigger_idx,161.6,160.79,162.82,context_residual,medium_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0027,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00012,raw_vehicle_dynamic_onset,161.69,161.69,163.13,steer_rate,strong,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0028,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00013,raw_vehicle_dynamic_onset,174.35,174.35,174.535,roll_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0029,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00014,raw_vehicle_dynamic_onset,176.42000000000002,176.42000000000002,177.135,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0030,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00015,raw_vehicle_dynamic_onset,177.91,177.91,178.52,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0031,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00016,raw_vehicle_dynamic_onset,179.61,179.61,180.94,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0032,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00015,old_v400_context_trigger_idx,181.225,181.215,182.06,context_residual,strong_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0033,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00017,raw_vehicle_dynamic_onset,181.475,181.475,182.425,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0034,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00018,raw_vehicle_dynamic_onset,188.74,188.74,188.93,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0035,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00019,raw_vehicle_dynamic_onset,189.975,189.975,190.965,steer_rate,strong,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0036,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00016,old_v400_context_trigger_idx,190.13,189.22,191.93,context_residual,medium_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0037,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00020,raw_vehicle_dynamic_onset,192.365,192.365,193.01,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0038,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00017,old_v400_context_trigger_idx,192.465,191.265,193.175,context_residual,strong_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0039,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00021,raw_vehicle_dynamic_onset,205.92,205.92,206.965,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0040,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00022,raw_vehicle_dynamic_onset,213.225,213.225,213.6,roll_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0041,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00023,raw_vehicle_dynamic_onset,214.955,214.955,216.24,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0042,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00018,old_v400_context_trigger_idx,215.28,214.08,216.99,context_residual,medium_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0043,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00024,raw_vehicle_dynamic_onset,217.205,217.205,217.57,roll_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0044,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00019,old_v400_context_trigger_idx,217.265,216.895,217.9,context_residual,weak,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0045,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00025,raw_vehicle_dynamic_onset,221.035,221.035,221.575,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0046,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00026,raw_vehicle_dynamic_onset,229.145,229.145,230.14,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0047,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00027,raw_vehicle_dynamic_onset,233.825,233.825,234.65,roll_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0048,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00028,raw_vehicle_dynamic_onset,237.755,237.755,238.235,roll_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0049,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00029,raw_vehicle_dynamic_onset,245.845,245.845,246.585,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0050,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00030,raw_vehicle_dynamic_onset,248.24,248.24,250.135,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0051,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00020,old_v400_context_trigger_idx,249.82,249.81,251.62,context_residual,weak,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0052,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00031,raw_vehicle_dynamic_onset,254.04,254.04,254.98,ay,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0053,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00032,raw_vehicle_dynamic_onset,255.365,255.365,256.37,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0054,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00021,old_v400_context_trigger_idx,261.77,260.97,263.57,context_residual,strong_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0055,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00033,raw_vehicle_dynamic_onset,261.98,261.98,263.06,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0056,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00034,raw_vehicle_dynamic_onset,263.975,263.975,264.335,steer_rate,strong,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0057,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00022,old_v400_context_trigger_idx,264.16,262.96,265.805,context_residual,strong_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0058,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00035,raw_vehicle_dynamic_onset,264.795,264.795,264.975,steer_rate,strong,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0059,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00023,old_v400_context_trigger_idx,267.43,266.82,269.075,context_residual,weak,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0060,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00036,raw_vehicle_dynamic_onset,267.43,267.43,267.585,steer_rate,medium,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0061,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00037,raw_vehicle_dynamic_onset,277.245,277.245,279.23,ay,weak,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0062,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00038,raw_vehicle_dynamic_onset,279.845,279.845,282.58,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0063,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00024,old_v400_context_trigger_idx,282.085,281.055,283.885,context_residual,strong_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0064,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00039,raw_vehicle_dynamic_onset,282.935,282.935,290.98,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0065,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00025,old_v400_context_trigger_idx,307.555,307.2,309.355,context_residual,weak,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0066,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00040,raw_vehicle_dynamic_onset,309.8,309.8,310.57,steer_rate,medium,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0067,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00026,old_v400_context_trigger_idx,310.16,308.96,311.96,context_residual,weak,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0068,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00041,raw_vehicle_dynamic_onset,310.96,310.96,311.3,steer_rate,strong,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0069,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00042,raw_vehicle_dynamic_onset,311.765,311.765,314.795,ay,strong,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0070,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00027,old_v400_context_trigger_idx,312.365,311.165,314.165,context_residual,medium_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0071,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00028,old_v400_context_trigger_idx,314.185,312.985,315.985,context_residual,medium_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0072,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00043,raw_vehicle_dynamic_onset,316.13,316.13,316.28000000000003,ay,weak,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0073,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00044,raw_vehicle_dynamic_onset,316.76,316.76,317.90500000000003,ay,medium,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0074,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00029,old_v400_context_trigger_idx,326.01,324.81,327.81,context_residual,weak,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0075,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00045,raw_vehicle_dynamic_onset,326.14,326.14,327.835,steer_rate,strong,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0076,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00046,raw_vehicle_dynamic_onset,328.72,328.72,330.55,steer_rate,medium,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0077,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00030,old_v400_context_trigger_idx,328.73,328.255,330.53,context_residual,weak,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0078,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00047,raw_vehicle_dynamic_onset,338.51,338.51,344.46500000000003,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0079,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00031,old_v400_context_trigger_idx,339.4,338.2,341.2,context_residual,strong_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0080,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00032,old_v400_context_trigger_idx,341.665,340.465,343.465,context_residual,extreme_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0081,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00048,raw_vehicle_dynamic_onset,355.835,355.835,364.645,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0082,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00033,old_v400_context_trigger_idx,356.585,356.095,358.385,context_residual,medium_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0083,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00034,old_v400_context_trigger_idx,359.04,357.84,360.84,context_residual,extreme_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0084,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00035,old_v400_context_trigger_idx,362.48,361.28,364.28,context_residual,strong_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0085,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00049,raw_vehicle_dynamic_onset,366.51,366.51,374.51,steer_rate,extreme,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0086,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00036,old_v400_context_trigger_idx,366.54,365.39,368.34,context_residual,strong_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0087,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00037,old_v400_context_trigger_idx,370.015,368.815,371.815,context_residual,strong_active,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0088,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00038,old_v400_context_trigger_idx,377.53,377.02,379.055,context_residual,weak,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0089,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00050,raw_vehicle_dynamic_onset,377.625,377.625,377.805,steer_rate,weak,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0090,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00051,raw_vehicle_dynamic_onset,391.7,391.7,392.395,steer_rate,medium,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0091,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,old_v400_context__rjy__2025_09_28_20_02_20__00039,old_v400_context_trigger_idx,392.055,390.855,392.87,context_residual,weak,,,,,,,,
ann_rjy_2025_09_28_20_02_20_0092,rjy,2025_09_28_20_02_20,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,raw_vehicle_dynamic_onset__rjy__2025_09_28_20_02_20__00052,raw_vehicle_dynamic_onset,409.69,409.69,410.93,ay,weak,,,,,,,,
