sample_id,event_uid,subject,session_stamp,anchor_time_rel_s,anchor_time_abs_s,window_config_id,input_start_rel_s,input_end_rel_s,label_start_rel_s,label_end_rel_s,anchor_source,causal_setting,event_type,event_level,road_type_anchor,is_curve,curvature_anchor,instability_review_score,road_guided_instability_score,codex_recommended_decision,road_guided_recommended_decision,vehicle_relative_path,vehicle_absolute_path,vehicle_sha256,anchor_idx_oldcode,event_start_rel_s,event_end_rel_s,event_duration_s,split,random_event_split,session_level_split,subject_level_split,array_row,vehicle_raw_relative_path,vehicle_raw_sha256,input_valid_ratio,label_valid_ratio,anchor_steer
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,byx,2025_09_28_17_05_51,349.3,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,extreme_active,straight,1,-0.00025321,87.45,100.0,auto_accept_instability_high,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,69860,349.3,363.51,14.21,train,train,train,test,10,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,0.11606399714946747
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000366800__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000366800,byx,2025_09_28_17_05_51,366.8,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,instability_strong,design_regular_road,0,0.0,72.24,87.74,auto_accept_instability_medium,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,73360,366.8,367.925,1.125,train,train,train,test,11,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,-0.3680900037288666
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000372590__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000372590,byx,2025_09_28_17_05_51,372.59,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,strong_active,straight,0,0.0,78.5,100.0,auto_accept_instability_high,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,74518,372.59,386.135,13.545,train,train,train,test,12,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,0.16493399441242218
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000484195__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000484195,byx,2025_09_28_17_05_51,484.195,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,strong_active,curve,0,0.0,92.81,100.0,auto_accept_instability_high,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,96839,484.195,519.75,35.555,train,train,train,test,13,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,0.14747999608516693
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000546280__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000546280,byx,2025_09_28_17_05_51,546.28,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,weak,curve,0,0.0,72.16,91.76,auto_accept_instability_medium,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,109256,546.28,563.28,17.0,train,val,train,test,14,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,-0.38554301857948303
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000028810__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000028810,byx,2025_09_28_17_15_52,28.81,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,medium_active,straight,0,-0.0,60.01,87.12,auto_accept_instability_medium,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,5762,28.81,37.12,8.31,train,train,train,test,15,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,1.0,1.0,-0.3604121506214142
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865,byx,2025_09_28_17_15_52,58.865,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,extreme_active,straight,0,0.0,81.69,100.0,auto_accept_instability_high,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,11773,58.865,69.03,10.165,train,train,train,test,16,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,1.0,1.0,0.2553420066833496
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000087445__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000087445,byx,2025_09_28_17_15_52,87.445,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,extreme_active,straight,0,0.0,80.01,100.0,auto_accept_instability_high,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,17489,87.445,96.875,9.43,train,val,train,test,17,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,1.0,1.0,-0.46390900015830994
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145,byx,2025_09_28_17_15_52,131.145,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,strong_active,curve,1,-0.00729802,75.98,100.0,auto_accept_instability_high,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,26229,131.145,150.435,19.29,train,train,train,test,18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,1.0,1.0,-0.4906120002269745
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000164040__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000164040,byx,2025_09_28_17_15_52,164.04,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,extreme_active,straight,0,0.0,82.98,100.0,auto_accept_instability_high,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,32808,164.04,201.975,37.935,train,train,train,test,19,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,1.0,1.0,-0.42743128538131714
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345,byx,2025_09_28_17_15_52,216.345,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,strong_active,straight,0,0.0,62.07,100.0,auto_accept_instability_medium,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,43269,216.345,230.84,14.495,train,train,train,test,20,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,1.0,1.0,0.20106245577335358
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000263965__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000263965,byx,2025_09_28_17_15_52,263.965,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,strong_active,curve,0,-0.0,76.79,100.0,auto_accept_instability_high,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,52793,263.965,284.705,20.74,train,test,train,test,21,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,1.0,1.0,0.21554799377918243
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000287425__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000287425,byx,2025_09_28_17_15_52,287.425,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,extreme_active,straight,1,0.0,91.39,100.0,auto_accept_instability_high,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,57485,287.425,306.315,18.89,train,val,train,test,22,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,1.0,1.0,0.1165880486369133
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000319770__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000319770,byx,2025_09_28_17_15_52,319.77,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,extreme_active,straight,1,-0.00041236,87.45,100.0,auto_accept_instability_high,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,63954,319.77,337.25,17.48,train,train,train,test,23,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,1.0,1.0,-0.45727598667144775
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000341810__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000341810,byx,2025_09_28_17_15_52,341.81,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,strong_active,straight,0,-0.0,61.68,90.0,auto_accept_instability_medium,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,68362,341.81,356.88,15.07,train,train,train,test,24,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,1.0,1.0,-0.5216808319091797
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000411920__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000411920,byx,2025_09_28_17_15_52,411.92,,pre1_label2_event_trigger,-1.0,0.0,0.0,2.0,all_raw_vehicle_dynamic_onset_non_steering,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,instability_ay_roll,extreme_active,straight,0,0.0,81.24,100.0,auto_accept_instability_high,hybrid_accept_high,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,82384,411.92,423.255,11.335,train,train,train,test,25,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,1.0,1.0,-0.47368180751800537
