episode_uid,new_rule_auto_label,new_rule_reason_cn,v0_3_category_cn,condition_context_cn,condition_level,condition_score_peak,body_attitude_score_simple,peak_abs_ay_window,peak_abs_yaw_rate_window,peak_abs_roll_rate_window,peak_abs_roll_window,steer_response_strength,steer_delta_prepost,response_shape,coordinate_continuity_ok,window_complete,subject,session_stamp,t_condition_anchor,nearest_old_road_module,vehicle_raw_absolute_path
V03_hzh_2025_09_27_19_44_05_0014,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,横滚/姿态,extreme,11.193249909155774,25.99400416666667,12.352,0.55973,1.32602,0.773983,weak,-2.8944490000000003,countersteer,False,True,hzh,2025_09_27_19_44_05,534.71,differentmu_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_27_19_44_05_vehicle.csv
V03_zdq_2025_09_26_15_52_46_0012,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,低附着,strong,6.810072198139954,25.925268166666662,3.29002,0.142987,2.42189,0.349593,weak,0.6448995999999999,sustained_same_side,False,True,zdq,2025_09_26_15_52_46,256.09,fix_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_15_52_46_vehicle.csv
V03_yzy_2025_09_27_14_26_04_0011,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,低附着,extreme,9.451684524181283,25.470858333333332,12.4602,0.814352,1.90735,0.240998,weak,1.677963,return,False,True,yzy,2025_09_27_14_26_04,259.158,fix_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yzy\Entity_Recording_2025_09_27_14_26_04_vehicle.csv
V03_yzy_2025_09_27_14_37_08_0001,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,横滚/姿态,strong,5.683978387191037,25.27962983333333,2.12122,0.147408,2.37373,0.346981,weak,1.283515,weak_or_no_clear_steer,False,True,yzy,2025_09_27_14_37_08,102.86,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yzy\Entity_Recording_2025_09_27_14_37_08_vehicle.csv
V03_txj_2025_09_27_09_06_19_0004,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,低附着,extreme,7.140147225996768,23.618657,9.46256,0.584854,1.87026,0.25731,medium,1.273918,countersteer,False,True,txj,2025_09_27_09_06_19,109.649,curve1,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\txj\Entity_Recording_2025_09_27_09_06_19_vehicle.csv
V03_gzj_2025_09_27_11_53_25_0017,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,横滚/姿态,extreme,11.5,23.560449166666668,11.3535,0.591834,1.48016,0.479673,medium,-3.269528,return,False,True,gzj,2025_09_27_11_53_25,579.84,differentmu_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_53_25_vehicle.csv
V03_zx_2025_09_27_18_17_48_0022,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,横滚/姿态,extreme,7.602435477364767,23.107620999999998,7.50163,0.309804,2.01525,0.261162,weak,1.3107380000000002,return,False,True,zx,2025_09_27_18_17_48,504.425,differentmu_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_18_17_48_vehicle.csv
V03_lxy_2025_09_28_17_55_52_0010,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,横滚/姿态,strong,6.635913759565678,23.098163833333334,3.55109,0.17436,2.01289,0.379365,none,0.8042480000000001,weak_or_no_clear_steer,False,True,lxy,2025_09_28_17_55_52,230.45,fix_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lxy\Entity_Recording_2025_09_28_17_55_52_vehicle.csv
V03_tyy_2025_09_28_14_57_17_0009,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,横滚/姿态,extreme,9.958887347105046,22.87778583333333,3.68475,0.310433,2.0968,0.249227,none,0.13754,weak_or_no_clear_steer,False,True,tyy,2025_09_28_14_57_17,428.02,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\tyy\Entity_Recording_2025_09_28_14_57_17_vehicle.csv
V03_zxy_2025_09_28_16_01_55_0017,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,低附着,extreme,11.371120220906196,22.722181000000003,6.99603,3.18538,0.483102,0.109618,strong,-3.660655,return,False,True,zxy,2025_09_28_16_01_55,310.346,curve1,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zxy\Entity_Recording_2025_09_28_16_01_55_vehicle.csv
V03_lxy_2025_09_28_17_55_52_0012,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,延迟或无明显转向响应,低附着,extreme,11.93056921889374,54.340968333333336,12.5433,2.09093,3.48787,0.984966,medium,1.133592,weak_or_no_clear_steer,True,True,lxy,2025_09_28_17_55_52,241.904,fix_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lxy\Entity_Recording_2025_09_28_17_55_52_vehicle.csv
V03_zx_2025_09_27_17_45_11_0020,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,弱响应/保守响应,低附着,extreme,10.075540406687749,43.9949155,7.54059,0.512277,3.52587,0.843453,weak,-2.221105,countersteer,True,True,zx,2025_09_27_17_45_11,485.345,differentmu_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_17_45_11_vehicle.csv
V03_yzy_2025_09_27_15_07_57_0007,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,延迟或无明显转向响应,低附着,extreme,10.407486898988596,35.270254666666666,5.08144,1.20152,2.82023,0.379556,strong,-3.3707499999999992,sustained_same_side,True,True,yzy,2025_09_27_15_07_57,216.315,fix_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yzy\Entity_Recording_2025_09_27_15_07_57_vehicle.csv
V03_hzh_2025_09_27_19_33_25_0023,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,弱响应/保守响应,弯道/曲率,extreme,10.96555126899685,28.336355833333336,11.6366,0.659933,1.45963,0.843663,weak,-2.419376,countersteer,True,True,hzh,2025_09_27_19_33_25,557.776,differentmu_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_27_19_33_25_vehicle.csv
V03_zx_2025_09_27_18_07_01_0026,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,延迟或无明显转向响应,弯道/曲率,extreme,10.459678962828828,27.432541666666665,13.2822,0.489432,1.37372,0.870502,medium,-3.713534,countersteer,True,True,zx,2025_09_27_18_07_01,591.74,differentmu_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_18_07_01_vehicle.csv
V03_byx_2025_09_28_17_25_18_0003,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,弱响应/保守响应,低附着,extreme,8.518012211883942,27.405309833333334,4.91907,0.41043,2.45008,0.316161,weak,-1.570102,return,True,True,byx,2025_09_28_17_25_18,86.09,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv
V03_txj_2025_09_27_09_17_11_0014,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,强响应型极限工况,横滚/姿态,strong,6.498069469786438,26.846570166666666,2.43628,0.281482,2.39711,0.398079,strong,3.551393,return,True,True,txj,2025_09_27_09_17_11,291.531,fix_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\txj\Entity_Recording_2025_09_27_09_17_11_vehicle.csv
V03_zx_2025_09_27_17_45_11_0025,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,强响应型极限工况,弯道/曲率,extreme,10.385754746925874,24.9056975,12.3205,0.606637,1.43661,0.594933,medium,-1.5577063,countersteer,True,True,zx,2025_09_27_17_45_11,594.535,differentmu_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_17_45_11_vehicle.csv
V03_zx_2025_09_27_16_32_00_0009,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,强响应型极限工况,低附着,strong,6.866335202133925,21.39753616666667,2.82991,0.214125,1.9586,0.275141,medium,1.15087,weak_or_no_clear_steer,True,True,zx,2025_09_27_16_32_00,185.935,curve1,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_16_32_00_vehicle.csv
V03_yzy_2025_09_27_14_26_04_0003,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,延迟或无明显转向响应,低附着,extreme,7.459749043882273,20.38684333333333,3.32715,0.261566,1.69228,0.3449,none,-1.894555,return,True,True,yzy,2025_09_27_14_26_04,94.11,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yzy\Entity_Recording_2025_09_27_14_26_04_vehicle.csv
V03_hzh_2025_09_27_19_22_27_0011,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,延迟或无明显转向响应,弯道/曲率,extreme,11.533679444231124,20.035926666666665,12.5905,0.363597,1.59743,0.191034,medium,1.388757,weak_or_no_clear_steer,True,True,hzh,2025_09_27_19_22_27,305.502,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_27_19_22_27_vehicle.csv
V03_zx_2025_09_27_16_32_00_0026,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,强响应型极限工况,低附着,strong,6.877698278546628,19.546354666666666,5.16964,0.374172,1.48508,0.341272,medium,-2.5179833,return,True,True,zx,2025_09_27_16_32_00,491.545,stop,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_16_32_00_vehicle.csv
V03_zx_2025_09_27_16_32_00_0023,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,强响应型极限工况,低附着,strong,6.710928828337783,19.319542833333337,1.93071,0.139861,1.63213,0.370641,medium,-1.5364152,weak_or_no_clear_steer,True,True,zx,2025_09_27_16_32_00,431.601,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_16_32_00_vehicle.csv
V03_zdq_2025_09_26_15_14_51_0008,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,强响应型极限工况,横滚/姿态,extreme,7.426526280831186,16.9181235,0.859805,0.2354575,1.33587,0.35493,medium,-0.2931249999999998,weak_or_no_clear_steer,True,True,zdq,2025_09_26_15_14_51,266.029,fix_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_15_14_51_vehicle.csv
V03_txj_2025_09_27_09_17_11_0032,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,弱响应/保守响应,弯道/曲率,extreme,10.240706214943824,16.345301666666668,11.0236,0.786588,0.958559,0.177572,weak,-1.817059,countersteer,True,True,txj,2025_09_27_09_17_11,606.27,differentmu_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\txj\Entity_Recording_2025_09_27_09_17_11_vehicle.csv
V03_rjy_2025_09_28_20_15_42_0009,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,强响应型极限工况,低附着,extreme,7.469252301760205,14.893834666666667,1.48329,0.219517,1.24919,0.247174,medium,0.7958700000000003,weak_or_no_clear_steer,True,True,rjy,2025_09_28_20_15_42,253.556,fix_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\rjy\Entity_Recording_2025_09_28_20_15_42_vehicle.csv
V03_txj_2025_09_27_09_17_11_0005,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,强响应型极限工况,弯道/曲率,extreme,8.237332708117306,14.849098666666666,5.67531,0.481664,0.846245,0.340294,strong,-5.02043,return,True,True,txj,2025_09_27_09_17_11,158.181,curve1,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\txj\Entity_Recording_2025_09_27_09_17_11_vehicle.csv
V03_hzh_2025_09_27_19_33_25_0009,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,延迟或无明显转向响应,弯道/曲率,extreme,9.259153119112598,13.947336666666668,10.0137,0.465741,0.963797,0.12674,strong,1.477772,sustained_same_side,True,True,hzh,2025_09_27_19_33_25,273.041,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_27_19_33_25_vehicle.csv
V03_zdq_2025_09_26_15_27_09_0022,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,延迟或无明显转向响应,弯道/曲率,extreme,12.026255775824024,13.260112833333334,8.63151,0.457553,0.901963,0.138375,strong,1.536409,countersteer,True,True,zdq,2025_09_26_15_27_09,459.885,differentmu_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_15_27_09_vehicle.csv
V03_lxy_2025_09_28_17_55_52_0028,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,强响应型极限工况,弯道/曲率,extreme,8.799061143390428,12.921915,10.0828,0.452796,0.805731,0.154156,medium,2.447471,countersteer,True,True,lxy,2025_09_28_17_55_52,491.644,differentmu_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lxy\Entity_Recording_2025_09_28_17_55_52_vehicle.csv
V03_zx_2025_09_27_18_00_08_0006,KEEP_DELAYED,车身姿态/横向动态强，但方向盘响应延迟或不明显,延迟或无明显转向响应,低附着,extreme,7.985030842362511,34.56513133333333,6.73624,0.1579,2.96071,0.620464,none,-0.2177298,weak_or_no_clear_steer,True,True,zx,2025_09_27_18_00_08,89.228,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_18_00_08_vehicle.csv
V03_zx_2025_09_27_17_25_16_0000,KEEP_DELAYED,车身姿态/横向动态强，但方向盘响应延迟或不明显,延迟或无明显转向响应,低附着,extreme,9.042742252130669,23.718895333333332,4.53551,0.244367,2.05456,0.35749,weak,-1.1111634,return,True,True,zx,2025_09_27_17_25_16,18.402,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_17_25_16_vehicle.csv
V03_txj_2025_09_27_09_06_19_0017,KEEP_DELAYED,车身姿态/横向动态强，但方向盘响应延迟或不明显,延迟或无明显转向响应,横滚/姿态,strong,5.658275416455148,23.573191666666663,2.4263,0.164713,2.19806,0.315776,none,0.749096,return,True,True,txj,2025_09_27_09_06_19,340.465,curve2,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\txj\Entity_Recording_2025_09_27_09_06_19_vehicle.csv
V03_hzh_2025_09_27_19_33_25_0013,KEEP_DELAYED,车身姿态/横向动态强，但方向盘响应延迟或不明显,延迟或无明显转向响应,低附着,extreme,8.054038942045814,23.274995333333333,5.37171,0.339264,1.92037,0.3601,none,-0.8878495,return,True,True,hzh,2025_09_27_19_33_25,353.506,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_27_19_33_25_vehicle.csv
V03_txj_2025_09_27_09_06_19_0026,KEEP_DELAYED,车身姿态/横向动态强，但方向盘响应延迟或不明显,延迟或无明显转向响应,低附着,strong,6.634063140933991,22.748885166666668,2.87378,0.179235,1.98212,0.380823,none,-0.748921,countersteer,True,True,txj,2025_09_27_09_06_19,575.874,differentmu_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\txj\Entity_Recording_2025_09_27_09_06_19_vehicle.csv
V03_rjy_2025_09_28_20_15_42_0010,KEEP_DELAYED,车身姿态/横向动态强，但方向盘响应延迟或不明显,延迟或无明显转向响应,低附着,strong,6.373679955874163,14.380023333333334,1.21195,0.105565,1.1428,0.326918,weak,-0.6977799999999998,sustained_same_side,True,True,rjy,2025_09_28_20_15_42,263.076,fix_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\rjy\Entity_Recording_2025_09_28_20_15_42_vehicle.csv
V03_zx_2025_09_27_18_07_01_0001,KEEP_DELAYED,车身姿态/横向动态强，但方向盘响应延迟或不明显,延迟或无明显转向响应,低附着,extreme,7.868120968564438,12.405844,2.83462,0.180584,0.747567,0.376502,none,0.3321364,return,True,True,zx,2025_09_27_18_07_01,25.307,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_18_07_01_vehicle.csv
V03_zxy_2025_09_28_16_12_11_0019,KEEP_DELAYED,车身姿态/横向动态强，但方向盘响应延迟或不明显,延迟或无明显转向响应,低附着,extreme,8.463368306270313,11.881857666666667,7.46743,0.508126,0.773717,0.112008,weak,-0.4043926,countersteer,True,True,zxy,2025_09_28_16_12_11,404.91,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zxy\Entity_Recording_2025_09_28_16_12_11_vehicle.csv
V03_zdq_2025_09_26_16_03_48_0017,KEEP_DELAYED,车身姿态/横向动态强，但方向盘响应延迟或不明显,延迟或无明显转向响应,横滚/姿态,strong,6.198972767505481,10.515166,3.73948,0.123399,0.929733,0.1122,none,0.4150394,weak_or_no_clear_steer,True,True,zdq,2025_09_26_16_03_48,471.625,differentmu_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_16_03_48_vehicle.csv
V03_byx_2025_09_28_17_46_00_0003,KEEP_DELAYED,车身姿态/横向动态强，但方向盘响应延迟或不明显,延迟或无明显转向响应,低附着,strong,6.357733840176661,10.117929666666667,4.44394,0.167564,0.877151,0.0865384,weak,0.962025,countersteer,True,True,byx,2025_09_28_17_46_00,105.176,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_46_00_vehicle.csv
V03_tyy_2025_09_28_14_44_09_0010,KEEP_DELAYED,车身姿态/横向动态强，但方向盘响应延迟或不明显,延迟或无明显转向响应,弯道/曲率,extreme,7.05562573798488,9.97559625,4.4971,0.19464,0.842736,0.0864141,none,0.592888,countersteer,True,True,tyy,2025_09_28_14_44_09,388.156,curve1,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\tyy\Entity_Recording_2025_09_28_14_44_09_vehicle.csv
V03_gf_2025_09_26_10_03_00_0000,KEEP_DELAYED,车身姿态/横向动态强，但方向盘响应延迟或不明显,延迟或无明显转向响应,低附着,strong,6.240695587360359,9.820284533333332,0.550081,0.0413445,1.0126,0.085217,none,0.73286352,weak_or_no_clear_steer,True,True,gf,2025_09_26_10_03_00,13.005,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_03_00_vehicle.csv
V03_lx_2025_09_26_08_58_43_0000,KEEP_DELAYED,车身姿态/横向动态强，但方向盘响应延迟或不明显,延迟或无明显转向响应,低附着,strong,5.065284397592192,9.814427383333333,0.558939,0.0513215,1.00549,0.0853559,none,1.2461662,weak_or_no_clear_steer,True,True,lx,2025_09_26_08_58_43,16.136,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lx\Entity_Recording_2025_09_26_08_58_43_vehicle.csv
V03_yyl_2025_09_28_09_29_01_0000,KEEP_DELAYED,车身姿态/横向动态强，但方向盘响应延迟或不明显,延迟或无明显转向响应,低附着,strong,5.56577283955562,9.7638654,0.555107,0.0263818,1.01481,0.0851348,none,0.6927208,weak_or_no_clear_steer,True,True,yyl,2025_09_28_09_29_01,7.316,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yyl\Entity_Recording_2025_09_28_09_29_01_vehicle.csv
V03_gf_2025_09_26_10_52_57_0000,KEEP_DELAYED,车身姿态/横向动态强，但方向盘响应延迟或不明显,延迟或无明显转向响应,低附着,strong,6.2259044464028,9.761710950000001,0.548741,0.0303593,1.01211,0.0852733,none,0.4680971999999999,weak_or_no_clear_steer,True,True,gf,2025_09_26_10_52_57,8.079,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_52_57_vehicle.csv
V03_hzh_2025_09_27_19_33_25_0000,KEEP_DELAYED,车身姿态/横向动态强，但方向盘响应延迟或不明显,延迟或无明显转向响应,低附着,strong,5.19902747718512,9.754795450000001,0.554031,0.0302746,1.01079,0.0855493,none,0.254294,weak_or_no_clear_steer,True,True,hzh,2025_09_27_19_33_25,3.18,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_27_19_33_25_vehicle.csv
V03_zt_2025_09_28_11_20_08_0000,KEEP_DELAYED,车身姿态/横向动态强，但方向盘响应延迟或不明显,延迟或无明显转向响应,低附着,strong,6.065187481723666,9.748435583333332,0.579025,0.0281947,1.01077,0.0854859,none,0.45518141,weak_or_no_clear_steer,True,True,zt,2025_09_28_11_20_08,14.37,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zt\Entity_Recording_2025_09_28_11_20_08_vehicle.csv
V03_yyl_2025_09_28_09_49_11_0000,KEEP_DELAYED,车身姿态/横向动态强，但方向盘响应延迟或不明显,延迟或无明显转向响应,低附着,strong,5.782993771694636,9.7388714,0.496232,0.047079,0.999705,0.0858684,weak,1.2365615,countersteer,True,True,yyl,2025_09_28_09_49_11,2.576,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yyl\Entity_Recording_2025_09_28_09_49_11_vehicle.csv
