relative_path,size_bytes,modified_time_ns
run57_a_full_release_population_causal_baseline_20260827/run_1/tables/subject_bootstrap_and_harm.csv,388,1787838133080772700
run57_a_full_release_population_causal_baseline_20260827/run_1/tables/subject_metrics.csv,3610,1787838133076051200
run57_a_full_release_population_causal_baseline_20260827/run_1/tables/transformer_training_trace.csv,11831,1787838133083774800
run57_a_full_release_population_causal_baseline_20260827/run_1/validation/final_validation.json,11453,1787838152949217300
run57_a_full_release_population_causal_baseline_20260827/run_1/validation/post_result_analysis_validation.json,577,1787838258198324900
run57_a_full_release_population_causal_baseline_20260827/validate.py,10052,1787837454778442000
run57_p0_event_population_ledger_20260827/__pycache__/audit_population.cpython-311.pyc,79181,1787830680318106200
run57_p0_event_population_ledger_20260827/__pycache__/freeze_protocol.cpython-311.pyc,4328,1787830680328494700
run57_p0_event_population_ledger_20260827/__pycache__/post_result_validation_v2.cpython-311.pyc,21605,1787830911915396800
run57_p0_event_population_ledger_20260827/__pycache__/validate_run57_p0.cpython-311.pyc,27920,1787830680325256800
run57_p0_event_population_ledger_20260827/audit_population.py,52756,1787830670260615300
run57_p0_event_population_ledger_20260827/config.json,6609,1787830381380142100
run57_p0_event_population_ledger_20260827/freeze_protocol.py,2057,1787830385263988000
run57_p0_event_population_ledger_20260827/post_result_validation_v2.py,12123,1787830908172141500
run57_p0_event_population_ledger_20260827/protocol_freeze/pre_result_protocol_hash.json,2712,1787830680811098000
run57_p0_event_population_ledger_20260827/README_CN.md,954,1787830381382271400
run57_p0_event_population_ledger_20260827/run_1/decision.json,3137,1787830804660718300
run57_p0_event_population_ledger_20260827/run_1/output_hashes.json,1797,1787830805093270000
run57_p0_event_population_ledger_20260827/run_1/P0_POST_RESULT_VALIDATION_CORRECTION_CN.md,795,1787830922003961900
run57_p0_event_population_ledger_20260827/run_1/provenance.json,1689,1787830805054335900
run57_p0_event_population_ledger_20260827/run_1/RESULT_CN.md,4782,1787830804664362900
run57_p0_event_population_ledger_20260827/run_1/tables/causal_population_gate_waterfall_post_result.csv,297,1787830921948212400
run57_p0_event_population_ledger_20260827/run_1/tables/event_quality_ledger.csv,8132905,1787830804633607800
run57_p0_event_population_ledger_20260827/run_1/tables/fold_counts.csv,821,1787830804637203800
run57_p0_event_population_ledger_20260827/run_1/tables/legacy_membership_evidence_time_summary.csv,605,1787830804654298700
run57_p0_event_population_ledger_20260827/run_1/tables/online_membership_field_audit.csv,295,1787830804656942800
run57_p0_event_population_ledger_20260827/run_1/tables/physiology_availability_summary.csv,259,1787830804659126000
run57_p0_event_population_ledger_20260827/run_1/tables/population_summary.csv,342,1787830804635145600
run57_p0_event_population_ledger_20260827/run_1/tables/raw_source_sha256_manifest_all_ledger.csv,38002,1787830804642133300
run57_p0_event_population_ledger_20260827/run_1/tables/raw_source_sha256_manifest_contract_reference85.csv,37140,1787830804645270200
run57_p0_event_population_ledger_20260827/run_1/tables/raw_source_sha256_manifest_online_population.csv,37140,1787830804648459100
run57_p0_event_population_ledger_20260827/run_1/tables/reference_vs_causal_population_difference.csv,110,1787830804655336500
run57_p0_event_population_ledger_20260827/run_1/tables/retained848_vs_recover953_trigger_distribution.csv,400,1787830804650582100
run57_p0_event_population_ledger_20260827/run_1/tables/risk_proxy_summary.csv,1422,1787830804651578900
run57_p0_event_population_ledger_20260827/run_1/tables/subject_recording_event_counts.csv,17486,1787830804640043000
run57_p0_event_population_ledger_20260827/run_1/validation/artifact_validation_v2.json,6628,1787830922002959700
run57_p0_event_population_ledger_20260827/run_1/validation/final_validation.json,9489,1787830820277113900
run57_p0_event_population_ledger_20260827/validate_run57_p0.py,14375,1787830659466593300
run58_road_preview_increment_20260828/__pycache__/experiment.cpython-310.pyc,24942,1787844620230454400
run58_road_preview_increment_20260828/__pycache__/validate.cpython-310.pyc,16647,1787845188325293200
run58_road_preview_increment_20260828/config.json,3412,1787844258997111800
run58_road_preview_increment_20260828/experiment.py,32136,1787844433278175100
run58_road_preview_increment_20260828/EXPERIMENT_CODE_REVIEW.md,1329,1787844670485185800
run58_road_preview_increment_20260828/run_1/audit/anchor_reproduction_decision.json,1007,1787845130415503400
run58_road_preview_increment_20260828/run_1/audit/p0_regate_result.json,1658,1787844810508901500
run58_road_preview_increment_20260828/run_1/BLOCKED_CN.md,1712,1787845130415503400
run58_road_preview_increment_20260828/run_1/config/inner_validation_split.json,4183,1787844686988108300
run58_road_preview_increment_20260828/run_1/decision.json,1355,1787845130416571200
run58_road_preview_increment_20260828/run_1/output_hashes.json,1480,1787845130471885900
run58_road_preview_increment_20260828/run_1/provenance.json,1261,1787845130420226000
run58_road_preview_increment_20260828/run_1/tables/anchor_model_selection.csv,597,1787845130261655200
run58_road_preview_increment_20260828/run_1/tables/anchor_predictions_oos.csv,2081594,1787845130410291900
run58_road_preview_increment_20260828/run_1/tables/anchor_raw_support_audit.csv,141226,1787844810496770900
run58_road_preview_increment_20260828/run_1/tables/anchor_relative_error_by_amplitude_bin.csv,729,1787845130263150200
run58_road_preview_increment_20260828/run_1/tables/anchor_reproduction_metrics.csv,126,1787845130412353000
run58_road_preview_increment_20260828/run_1/tables/anchor_summary_cache.npz,2734008,1787844810488449000
run58_road_preview_increment_20260828/run_1/tables/full_event_manifest.csv,6821780,1787844687510146800
run58_road_preview_increment_20260828/run_1/tables/raw_source_sha256_manifest.csv,32357,1787844810502473500
run58_road_preview_increment_20260828/run_1/validation/final_validation.json,16946,1787845198713394700
run58_road_preview_increment_20260828/validate.py,22592,1787845176151652400
run59_identifiability_replay_2323_20260828/__pycache__/audit_core.cpython-311.pyc,31481,1787902770175486800
run59_identifiability_replay_2323_20260828/__pycache__/decision_audit.cpython-311.pyc,20212,1787902770198582400
run59_identifiability_replay_2323_20260828/__pycache__/outcome_audit.cpython-311.pyc,49626,1787902770189307300
run59_identifiability_replay_2323_20260828/__pycache__/run59_replay.cpython-311.pyc,83093,1787904894041392400
run59_identifiability_replay_2323_20260828/__pycache__/run_audit.cpython-311.pyc,45118,1787902770211824800
run59_identifiability_replay_2323_20260828/__pycache__/validate_replay.cpython-311.pyc,20796,1787904894053716900
run59_identifiability_replay_2323_20260828/audit_core.py,20438,1786472449135467400
run59_identifiability_replay_2323_20260828/config.json,3918,1787902484888140400
run59_identifiability_replay_2323_20260828/decision_audit.py,16342,1786498288602061100
run59_identifiability_replay_2323_20260828/outcome_audit.py,30235,1786498606295803200
run59_identifiability_replay_2323_20260828/outputs/decision.json,2243,1787904751690722800
run59_identifiability_replay_2323_20260828/outputs/figures/Figure_01_support_and_distance_resolution.png,82300,1787904753261826900
run59_identifiability_replay_2323_20260828/outputs/figures/Figure_02_subject_support_coverage.png,55364,1787904753743505300
run59_identifiability_replay_2323_20260828/outputs/figures/Figure_03_identifiability_ratios.png,58296,1787904753992059600
run59_identifiability_replay_2323_20260828/outputs/figures/Figure_04_distance_divergence_gradient.png,87740,1787904754256777000
run59_identifiability_replay_2323_20260828/outputs/figures/Figure_05_conditional_variance_vs_oof_error.png,384402,1787904754836257400
run59_identifiability_replay_2323_20260828/outputs/figures/Figure_06_representative_neighbor_futures.png,207537,1787904755610243600
run59_identifiability_replay_2323_20260828/outputs/figures/Figure_07_subject_curve_ratios.png,82857,1787904756036228300
run59_identifiability_replay_2323_20260828/outputs/final_info.json,3168,1787904756543388300
run59_identifiability_replay_2323_20260828/outputs/manifests/audit_manifest.csv,522507,1787902796519541800
run59_identifiability_replay_2323_20260828/outputs/manifests/input_schema.json,793,1787902796521083400
run59_identifiability_replay_2323_20260828/outputs/manifests/provenance_hashes.json,3176,1787904756410427300
run59_identifiability_replay_2323_20260828/outputs/RESULT_CN.md,4981,1787904886569700700
run59_identifiability_replay_2323_20260828/outputs/tables/amplitude_tail_peak_time_summary.csv,587,1787904751652254100
run59_identifiability_replay_2323_20260828/outputs/tables/curve_divergence_summary.csv,2466207,1787903367532340100
run59_identifiability_replay_2323_20260828/outputs/tables/distance_concentration.csv,2084522,1787903176000508100
run59_identifiability_replay_2323_20260828/outputs/tables/fold_road_missing_imputation_summary.csv,579,1787903176007825400
run59_identifiability_replay_2323_20260828/outputs/tables/fold_robust_transform_summary.csv,666,1787903176003681500
run59_identifiability_replay_2323_20260828/outputs/tables/hierarchical_bootstrap.csv,729,1787904751408836700
run59_identifiability_replay_2323_20260828/outputs/tables/learnable_but_missed_counterfactual.csv,2053,1787904752657521600
run59_identifiability_replay_2323_20260828/outputs/tables/learnable_but_missed_pool.csv,43010,1787904752650370100
run59_identifiability_replay_2323_20260828/outputs/tables/learnable_but_missed_pool_cross_count.csv,1415,1787904752654192000
run59_identifiability_replay_2323_20260828/outputs/tables/negative_controls.csv,10014448,1787903367301272200
run59_identifiability_replay_2323_20260828/outputs/tables/neighbor_subject_recording_usage.csv,5034,1787903176071932700
run59_identifiability_replay_2323_20260828/outputs/tables/per_neighbor_edge_divergence.csv,6697316,1787903366683861200
run59_identifiability_replay_2323_20260828/outputs/tables/per_query_conditional_variance.csv,3123603,1787903366214389900
run59_identifiability_replay_2323_20260828/outputs/tables/per_query_neighbors.csv,4494267,1787903174788778800
run59_identifiability_replay_2323_20260828/outputs/tables/per_query_support.csv,1044832,1787903174513476200
run59_identifiability_replay_2323_20260828/outputs/tables/per_subject_identifiability.csv,9933,1787904751480925400
run59_identifiability_replay_2323_20260828/outputs/tables/per_subject_support.csv,2153,1787903176069853500
run59_identifiability_replay_2323_20260828/outputs/tables/permutation_tests.csv,1832,1787904751414263500
run59_identifiability_replay_2323_20260828/outputs/tables/post_peak_drop_neighbor_disagreement.csv,234981,1787903367556516100
run59_identifiability_replay_2323_20260828/outputs/tables/query_neighbor_two_way_bootstrap.csv,1011,1787904751411449500
run59_identifiability_replay_2323_20260828/outputs/tables/radius_stratified_ratio.csv,1868,1787904752638969600
run59_identifiability_replay_2323_20260828/outputs/tables/radius_zero_extrapolation.csv,1635,1787904752643464300
run59_identifiability_replay_2323_20260828/outputs/tables/stratum_identifiability.csv,3842,1787904751646976800
run59_identifiability_replay_2323_20260828/outputs/tables/subject_cluster_bootstrap.csv,763,1787904751403896100
run59_identifiability_replay_2323_20260828/outputs/tables/training_internal_neighbor_reference.csv,17930378,1787903175826874500
run59_identifiability_replay_2323_20260828/outputs/tables/training_internal_support_thresholds.csv,643,1787903176005203800
run59_identifiability_replay_2323_20260828/outputs/validation/independent_validation.json,3317,1787904896360217200
run59_identifiability_replay_2323_20260828/outputs/validation/validation_results.json,2039,1787903176118207600
run59_identifiability_replay_2323_20260828/run59_replay.py,61741,1787904886572269900
run59_identifiability_replay_2323_20260828/run_audit.py,31384,1787902484890863300
run59_identifiability_replay_2323_20260828/validate_replay.py,11101,1787904817766064800
run59_map_localization_20260828/__pycache__/calibrate_availability.cpython-311.pyc,11263,1787904425201889800
run59_map_localization_20260828/__pycache__/experiment.cpython-311.pyc,45767,1787904171281339800
run59_map_localization_20260828/__pycache__/finalize_results.cpython-311.pyc,7405,1787904992908248500
run59_map_localization_20260828/__pycache__/localize_with_training_transforms.cpython-311.pyc,20094,1787904560493435600
run59_map_localization_20260828/__pycache__/validate_training_transforms.cpython-311.pyc,13605,1787904891753428400
run59_map_localization_20260828/calibrate_availability.py,7291,1787904415505585800
run59_map_localization_20260828/config.json,3754,1787903758092631000
run59_map_localization_20260828/config_training_transforms.json,862,1787904549870112200
run59_map_localization_20260828/experiment.py,26849,1787904155081976300
run59_map_localization_20260828/finalize_results.py,4625,1787904983618370800
run59_map_localization_20260828/localize_with_training_transforms.py,11312,1787904549871998100
run59_map_localization_20260828/run_1/candidate_start_positions.csv,4237,1787904173438604900
run59_map_localization_20260828/run_1/development_selected_thresholds.json,84,1787904427115579800
run59_map_localization_20260828/run_1/development_threshold_grid.csv,18745,1787904427112545500
run59_map_localization_20260828/run_1/figures/Figure_1_localization_by_fold.png,48442,1787904328650045000
run59_map_localization_20260828/run_1/figures/Figure_2_predicted_vs_reference_station.png,107007,1787904329101556400
run59_map_localization_20260828/run_1/final_info.json,501,1787904329196570700
run59_map_localization_20260828/run_1/map_localization_by_prediction_start.csv,1089084,1787904328018307900
run59_map_localization_20260828/run_1/map_localization_summary.csv,777,1787904328022386900
run59_map_localization_20260828/run_1/output_hashes.json,935,1787904329216458300
run59_map_localization_20260828/run_1/provenance.json,1150,1787904329200450600
run59_map_localization_20260828/run_1/RESULT_CN.md,1439,1787904329195059800
run59_map_localization_20260828/run_1/selected_setup_summary.csv,351,1787904328027215500
run59_map_localization_20260828/run_2/figures/Figure_1_localization_by_fold.png,48789,1787904800407421600
run59_map_localization_20260828/run_2/figures/Figure_2_predicted_vs_reference_station.png,123576,1787904800885909800
run59_map_localization_20260828/run_2/final_info.json,418,1787904800991621500
run59_map_localization_20260828/run_2/FINAL_RESULT_CN.md,1651,1787904994180510400
run59_map_localization_20260828/run_2/localization_method_comparison.csv,649,1787904994179038800
run59_map_localization_20260828/run_2/map_localization_by_prediction_start.csv,860069,1787904799807398900
run59_map_localization_20260828/run_2/map_localization_summary.csv,776,1787904799810080300
run59_map_localization_20260828/run_2/output_hashes.json,640,1787904801007736100
run59_map_localization_20260828/run_2/RESULT_CN.md,724,1787904800990539500
run59_map_localization_20260828/run_2/validation/final_summary_validation.json,241,1787904994184760200
run59_map_localization_20260828/run_2/validation/final_validation.json,4340,1787904893942147500
run59_map_localization_20260828/smoke/candidate_start_positions.csv,4237,1787903896570307000
run59_map_localization_20260828/smoke/figures/Figure_1_localization_by_fold.png,46460,1787903904209729700
run59_map_localization_20260828/smoke/figures/Figure_2_predicted_vs_reference_station.png,79503,1787903905031562100
run59_map_localization_20260828/smoke/final_info.json,495,1787903905133463700
run59_map_localization_20260828/smoke/map_localization_by_prediction_start.csv,36702,1787903903079583300
run59_map_localization_20260828/smoke/map_localization_summary.csv,406,1787903903081653500
run59_map_localization_20260828/smoke/output_hashes.json,935,1787903905154253700
run59_map_localization_20260828/smoke/provenance.json,1149,1787903905139301600
run59_map_localization_20260828/smoke/RESULT_CN.md,1434,1787903905132467300
run59_map_localization_20260828/smoke/selected_setup_summary.csv,99,1787903903088345000
run59_map_localization_20260828/validate_training_transforms.py,7328,1787904882049466800
run60_gbm_vs_noise_floor_20260828/__pycache__/experiment.cpython-311.pyc,87793,1787906306739315800
run60_gbm_vs_noise_floor_20260828/__pycache__/freeze_protocol.cpython-311.pyc,3867,1787906306760385500
run60_gbm_vs_noise_floor_20260828/__pycache__/validate.cpython-311.pyc,32248,1787906306749092600
run60_gbm_vs_noise_floor_20260828/__pycache__/validate_results.cpython-311.pyc,2543,1787910135428879900
run60_gbm_vs_noise_floor_20260828/audit/anchor_reproduction_decision.json,1224,1787906339523333700
run60_gbm_vs_noise_floor_20260828/audit/p0_regate_result.json,3861,1787906339510187200
run60_gbm_vs_noise_floor_20260828/config/inner_validation_split.json,5632,1787906339505973500
run60_gbm_vs_noise_floor_20260828/config.json,9156,1787905958704044200
run60_gbm_vs_noise_floor_20260828/experiment.py,60045,1787906298684457000
run60_gbm_vs_noise_floor_20260828/freeze_protocol.py,1731,1787906281264416600
run60_gbm_vs_noise_floor_20260828/logs/run60_full_stdout.log,198844,1787910102474059900
run60_gbm_vs_noise_floor_20260828/outputs/anchor_stage.json,1368,1787906339524946500
run60_gbm_vs_noise_floor_20260828/outputs/anchor_stage_info.json,1659,1787906326786950400
run60_gbm_vs_noise_floor_20260828/outputs/decision.json,4606,1787910102378307300
run60_gbm_vs_noise_floor_20260828/outputs/final_info.json,234,1787910102445708600
run60_gbm_vs_noise_floor_20260828/outputs/provenance.json,7157,1787910102444654800
run60_gbm_vs_noise_floor_20260828/outputs/RESULT_CN.md,3391,1787910102384787700
run60_gbm_vs_noise_floor_20260828/outputs/validation/independent_validation.json,3333,1787910155408617100
run60_gbm_vs_noise_floor_20260828/predictions/coverage_check.json,2827,1787910102377067700
run60_gbm_vs_noise_floor_20260828/predictions/M0_hold_oof_predictions.csv,508777,1787910102100907100
run60_gbm_vs_noise_floor_20260828/predictions/M2_vehicle_anchor_oof_predictions.csv,1211087,1787910102189959700
run60_gbm_vs_noise_floor_20260828/predictions/M3_lgbm_oof_predictions.csv,1194456,1787910102275740800
run60_gbm_vs_noise_floor_20260828/predictions/M4_hist_oof_predictions.csv,1194488,1787910102361976000
run60_gbm_vs_noise_floor_20260828/protocol_freeze/pre_result_protocol_hash.json,1006,1787906316189436000
run60_gbm_vs_noise_floor_20260828/tables/aggregate_metrics_reference_only.csv,331,1787910102056250600
run60_gbm_vs_noise_floor_20260828/tables/anchor_relative_error_by_amplitude_bin.csv,500,1787906339520460200
run60_gbm_vs_noise_floor_20260828/tables/anchor_reproduction_metrics.csv,167,1787906339521793800
run60_gbm_vs_noise_floor_20260828/tables/floor_ratio_by_subject.csv,14579,1787910102052440100
run60_gbm_vs_noise_floor_20260828/tables/floor_ratio_by_support_class.csv,1464,1787910102050405100
run60_gbm_vs_noise_floor_20260828/tables/inner_candidate_metrics.csv,12610,1787910102061277700
run60_gbm_vs_noise_floor_20260828/tables/model_selection.csv,2765,1787910102058270600
run60_gbm_vs_noise_floor_20260828/tables/paired_bootstrap_subject.csv,1533,1787910102055186600
run60_gbm_vs_noise_floor_20260828/tables/per_event_predictions.csv,4107629,1787910102048400100
run60_gbm_vs_noise_floor_20260828/tables/relative_mae_by_amplitude_bin.csv,2552,1787910102053755500
run60_gbm_vs_noise_floor_20260828/validate.py,18294,1787906281263323500
run60_gbm_vs_noise_floor_20260828/validate_results.py,1122,1787910147250018700
run61_road_preview_increment_20260829/run1/_claude_probe.py,5223,1787926613930448400
run61_road_preview_increment_20260829/run1/_claude_probe2.py,3084,1787926723100583000
run61_road_preview_increment_20260829/run1/_claude_probe3.py,3729,1787927315225515800
run61_road_preview_increment_20260829/run1/_claude_probe4.py,3719,1787932543530845200
run61_road_preview_increment_20260829/run1/_claude_probe5.py,2349,1787932631352709600
run61_road_preview_increment_20260829/run1/_stage/A.done.json,1691,1787920686969779100
run61_road_preview_increment_20260829/run1/_stage/A_anchor_flor.json,8663,1787920686961959000
run61_road_preview_increment_20260829/run1/_stage/A_b_all3_predictions.csv,1913885,1787920686921144800
run61_road_preview_increment_20260829/run1/_stage/B.done.json,2339,1787920612987796100
run61_road_preview_increment_20260829/run1/_stage/B_geom_validation.json,2855,1787920612977646600
run61_road_preview_increment_20260829/run1/_stage/B_route_curvature_1m.csv,1986741,1787920612953005500
run61_road_preview_increment_20260829/run1/_stage/C.done.json,7152,1787920726624496200
run61_road_preview_increment_20260829/run1/_stage/C_localization.csv,325333,1787920726609160700
run61_road_preview_increment_20260829/run1/_stage/C_localization_audit.json,11093,1787920726613151700
run61_road_preview_increment_20260829/run1/_stage/D.done.json,8708,1787920521802289200
run61_road_preview_increment_20260829/run1/_stage/D_vehicle_lateral.csv,181446,1787920521702534100
run61_road_preview_increment_20260829/run1/_stage/D_vehicle_summary.csv,7634410,1787920521691084300
run61_road_preview_increment_20260829/run1/_stage/E.done.json,1833,1787921017915497500
run61_road_preview_increment_20260829/run1/_stage/E_ginfo.json,5362,1787921017876336800
run61_road_preview_increment_20260829/run1/_stage/E_ginfo_oof_prob.csv,122760,1787921017886956100
run61_road_preview_increment_20260829/run1/_stage/F.done.json,13306,1787921101554953300
run61_road_preview_increment_20260829/run1/_stage/F_preview_features.csv,668315,1787921101525039500
run61_road_preview_increment_20260829/run1/_stage/G.done.json,32947,1787924747046577900
run61_road_preview_increment_20260829/run1/config/inner_validation_split.json,5726,1787921702404208700
run61_road_preview_increment_20260829/run1/CONTRACT_RUN61.txt,19502,1787920380534546700
run61_road_preview_increment_20260829/run1/figures/representative_B_all3_prediction_with_2s_history.json,741,1787976977356344700
run61_road_preview_increment_20260829/run1/figures/representative_B_all3_prediction_with_2s_history.pdf,52822,1787976977348733800
run61_road_preview_increment_20260829/run1/figures/representative_B_all3_prediction_with_2s_history.png,381178,1787976976788658700
run61_road_preview_increment_20260829/run1/logs/card_G_run.log,4236,1787924747004110200
run61_road_preview_increment_20260829/run1/outputs/decision.json,10536,1787924746937274800
run61_road_preview_increment_20260829/run1/outputs/validation/root_independent_validation.json,11018,1787924952460558500
run61_road_preview_increment_20260829/run1/RESULT_CN.md,6569,1787924746948858300
run61_road_preview_increment_20260829/run1/scripts/__pycache__/card_D.cpython-311.pyc,10078,1787920520004496900
run61_road_preview_increment_20260829/run1/scripts/__pycache__/card_E.cpython-311.pyc,35276,1787920986235939500
run61_road_preview_increment_20260829/run1/scripts/__pycache__/card_F.cpython-311.pyc,38985,1787921092553587500
run61_road_preview_increment_20260829/run1/scripts/__pycache__/card_G.cpython-311.pyc,97460,1787921684177040100
run61_road_preview_increment_20260829/run1/scripts/__pycache__/plot_representative_prediction_with_history.cpython-311.pyc,14188,1787976974484802300
run61_road_preview_increment_20260829/run1/scripts/__pycache__/validate_root_independent.cpython-311.pyc,18906,1787924950450491900
run61_road_preview_increment_20260829/run1/scripts/card_A.py,23738,1787920682100267200
run61_road_preview_increment_20260829/run1/scripts/card_B.py,15205,1787920606852690000
run61_road_preview_increment_20260829/run1/scripts/card_C.py,25247,1787920720507555200
run61_road_preview_increment_20260829/run1/scripts/card_D.py,5824,1787920514891080600
run61_road_preview_increment_20260829/run1/scripts/card_E.py,22622,1787920980827827200
run61_road_preview_increment_20260829/run1/scripts/card_F.py,25540,1787921096582859900
run61_road_preview_increment_20260829/run1/scripts/card_G.py,73091,1787921680344453400
run61_road_preview_increment_20260829/run1/scripts/plot_representative_prediction_with_history.py,8818,1787976965981607600
run61_road_preview_increment_20260829/run1/scripts/validate_root_independent.py,9900,1787924944848692200
run61_road_preview_increment_20260829/run1/tables/curve_vs_straight_by_amplitude_bin.csv,2253,1787921101527550400
run61_road_preview_increment_20260829/run1/tables/fit_only_nanmedian_audit.csv,3909,1787924746936275600
run61_road_preview_increment_20260829/run1/tables/floor_ratio_by_support_class.csv,1355,1787924746434975200
run61_road_preview_increment_20260829/run1/tables/geometry_validation_vs_run45.csv,154290,1787920612973518200
run61_road_preview_increment_20260829/run1/tables/ginfo_confound_check.csv,2201,1787921017891737200
run61_road_preview_increment_20260829/run1/tables/inner_candidate_metrics.csv,5721,1787924746928659000
run61_road_preview_increment_20260829/run1/tables/model_selection.csv,748,1787924746934850800
run61_road_preview_increment_20260829/run1/tables/paired_bootstrap_subject.csv,1780,1787924746439489500
run61_road_preview_increment_20260829/run1/tables/per_event_predictions.csv,6383617,1787924746925872800
run61_road_preview_increment_20260829/run1/tables/preview_availability_by_fold_and_subject.csv,2068,1787920726611157600
run61_road_preview_increment_20260829/run1/tables/relative_mae_by_amplitude_bin.csv,1914,1787924746436968800
run61_road_preview_increment_20260829/run1/tables/relative_mae_by_timepoint.csv,28326,1787924746932785000
run61_road_preview_increment_20260829/run1/tables/representative_B_all3_prediction_with_2s_history.csv,13055,1787976977354038400
run62_amplitude_shape_factorized_20260829/.aris/traces/result-to-claim/2026-08-29_run62/parsed_verdict.json,146,1787990818219028200
run62_amplitude_shape_factorized_20260829/.aris/traces/result-to-claim/2026-08-29_run62/prompt.md,371,1787990818210343000
run62_amplitude_shape_factorized_20260829/.aris/traces/result-to-claim/2026-08-29_run62/raw_review.md,865,1787990818211497200
run62_amplitude_shape_factorized_20260829/.aris/traces/result-to-claim/2026-08-29_run62/routing_action.md,208,1787990818220250600
run62_amplitude_shape_factorized_20260829/__pycache__/experiment.cpython-311.pyc,45380,1787990495275086300
run62_amplitude_shape_factorized_20260829/__pycache__/freeze_protocol.cpython-311.pyc,3021,1787990495279395300
run62_amplitude_shape_factorized_20260829/__pycache__/validate.cpython-311.pyc,8180,1787990495285788500
run62_amplitude_shape_factorized_20260829/config.json,4243,1787990360100263500
run62_amplitude_shape_factorized_20260829/experiment.py,23738,1787990463376362900
run62_amplitude_shape_factorized_20260829/figures/Figure_01_factorized_model_comparison.png,121844,1787990633128309500
run62_amplitude_shape_factorized_20260829/figures/Figure_02_representative_factorized_prediction.png,267607,1787990633567273800
run62_amplitude_shape_factorized_20260829/findings.md,1123,1787990818205473500
run62_amplitude_shape_factorized_20260829/freeze_protocol.py,999,1787990486342840400
run62_amplitude_shape_factorized_20260829/logs/run62_stdout.log,3159,1787990633672955400
run62_amplitude_shape_factorized_20260829/outputs/decision.json,2822,1787990632620547400
run62_amplitude_shape_factorized_20260829/outputs/final_info.json,4113,1787990633605982800
run62_amplitude_shape_factorized_20260829/outputs/representation_audit.json,108,1787990561708562400
run62_amplitude_shape_factorized_20260829/outputs/RESULT_CN.md,1034,1787990633570619700
run62_amplitude_shape_factorized_20260829/outputs/validation/independent_validation.json,1194,1787990663084649000
run62_amplitude_shape_factorized_20260829/protocol_freeze/pre_result_protocol_hash.json,851,1787990528969719900
