sample_id,split,candidate_name,prototype_rule,prototype_train_n
vehicle_instability_allraw__jy__2025_09_26_18_01_40__000198735__pre3_label3_response_coverage,val,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,14
vehicle_instability_allraw__jy__2025_09_26_18_01_40__000326600__pre3_label3_response_coverage,val,proto_combo_full,direction_mode=positive&amplitude_mode=medium&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,11
vehicle_instability_allraw__lx__2025_09_26_09_17_22__000135315__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__lx__2025_09_26_09_17_22__000215535__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__lx__2025_09_26_09_17_22__000385260__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=very_large&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,8
vehicle_instability_allraw__lx__2025_09_26_09_17_22__000480490__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=very_large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,7
vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000089180__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,15
vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000357070__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=early_peak,21
vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000380645__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,12
vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000448640__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,5
vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000541050__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,16
vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000057770__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,16
vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000084330__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=early_peak&tail_mode=same_side_tail&correction_mode=multi_segment,5
vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000133655__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak,25
vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000250730__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,14
vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000129055__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=very_large,12
vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000175350__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,10
vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000290870__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,5
vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000320035__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=large&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,5
vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000334720__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=early_peak&tail_mode=same_side_tail&correction_mode=multi_segment,5
vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000402090__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,15
vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000481970__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=early_peak,21
vehicle_instability_allraw__rjy__2025_09_28_19_33_26__000137120__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=small&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,10
vehicle_instability_allraw__rjy__2025_09_28_19_33_26__000439360__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=negative&amplitude_mode=medium&peak_timing=late_peak&tail_mode=return_near_zero&correction_mode=multi_segment,24
vehicle_instability_allraw__rjy__2025_09_28_19_33_26__000515545__pre3_label3_response_coverage,train,proto_combo_full,direction_mode=positive&amplitude_mode=small&peak_timing=early_peak&tail_mode=return_near_zero&correction_mode=multi_segment,16
