sample_id,event_uid,subject,session_stamp,anchor_source,anchor_time_rel_s,anchor_time_abs_s,event_start_rel_s,event_end_rel_s,event_type,event_level,phase_type,road_type_anchor,curvature_anchor,trigger_type,window_config_id,causal_setting,input_start_rel_s,input_end_rel_s,label_start_rel_s,label_end_rel_s,input_abs_start_s,input_abs_end_s,label_abs_start_s,label_abs_end_s,available_modalities,sample_usable_vehicle_minimal,recommended_for_stage3_vehicle_baseline,quality_flags,leakage_flags,window_note,vehicle_input_coverage,vehicle_label_coverage,physio_input_coverage,eeg_input_coverage,vehicle_relative_path,physio_relative_path,eeg_relative_path,vehicle_sha256,physio_sha256,eeg_sha256,label_peak_delta,label_peak_abs_delta,label_peak_time_rel_s,label_peak_direction,label_tail_delta,label_reversal_count_proxy
raw_road_curvature_onset__byx__2025_09_28_17_25_18__00001__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00001,byx,2025_09_28_17_25_18,raw_road_curvature_onset,164.34,1759080483.244,164.34,180.495,curve_left_or_positive,extreme,candidate,curve,0.0109085796887278,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759080482.244,1759080483.244,1759080483.244,1759080485.244,"vehicle,physio,eeg",True,True,eeg_low_valid;eeg_zero_dt;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_25_18_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_25_18_eeg.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,cac7f1fff82f43ba34703b3b7488018fbad5ee6a7f118cc841a8854aa26e5487,d6a6cd67a9f74f440352b60d9517101bac71312ac7780a7c85647ef7232d4c5e,-1.1597726045166978,1.1597726045166978,1.865000000000009,negative,-1.130972604516698,3.0
raw_road_curvature_onset__byx__2025_09_28_17_25_18__00002__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00002,byx,2025_09_28_17_25_18,raw_road_curvature_onset,332.65000000000003,1759080651.554,332.65000000000003,346.99,curve_right_or_negative,extreme,candidate,curve,-0.008165122,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759080650.554,1759080651.554,1759080651.554,1759080653.554,"vehicle,physio,eeg",True,True,eeg_low_valid;eeg_zero_dt;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_25_18_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_25_18_eeg.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,cac7f1fff82f43ba34703b3b7488018fbad5ee6a7f118cc841a8854aa26e5487,d6a6cd67a9f74f440352b60d9517101bac71312ac7780a7c85647ef7232d4c5e,-0.8257150000000001,0.8257150000000001,1.7199999999999704,negative,-0.1368316331579327,8.0
raw_road_curvature_onset__byx__2025_09_28_17_25_18__00003__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00003,byx,2025_09_28_17_25_18,raw_road_curvature_onset,350.77,1759080669.674,350.77,352.555,curve_left_or_positive,weak,candidate,curve,0.0010801120366202,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759080668.674,1759080669.674,1759080669.674,1759080671.674,"vehicle,physio,eeg",True,True,eeg_low_valid;eeg_zero_dt;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_25_18_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_25_18_eeg.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,cac7f1fff82f43ba34703b3b7488018fbad5ee6a7f118cc841a8854aa26e5487,d6a6cd67a9f74f440352b60d9517101bac71312ac7780a7c85647ef7232d4c5e,-0.922581398334845,0.922581398334845,0.8650000000000091,negative,-0.0860448,2.0
raw_road_curvature_onset__byx__2025_09_28_17_25_18__00004__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00004,byx,2025_09_28_17_25_18,raw_road_curvature_onset,510.425,1759080829.329,510.425,534.795,curve_right_or_negative,extreme,candidate,curve,-0.0060313741757771,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759080828.329,1759080829.329,1759080829.329,1759080831.329,"vehicle,physio,eeg",True,True,eeg_low_valid;eeg_zero_dt;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_25_18_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_25_18_eeg.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,cac7f1fff82f43ba34703b3b7488018fbad5ee6a7f118cc841a8854aa26e5487,d6a6cd67a9f74f440352b60d9517101bac71312ac7780a7c85647ef7232d4c5e,0.0450294300934412,0.0450294300934412,0.1549999999999727,positive,-0.0010472699065587,1.0
raw_road_curvature_onset__byx__2025_09_28_17_25_18__00005__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00005,byx,2025_09_28_17_25_18,raw_road_curvature_onset,574.94,1759080893.844,574.94,584.23,curve_left_or_positive,extreme,candidate,curve,0.0179968635434012,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759080892.844,1759080893.844,1759080893.844,1759080895.844,"vehicle,physio,eeg",True,True,eeg_low_valid;eeg_zero_dt;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_25_18_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_25_18_eeg.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,cac7f1fff82f43ba34703b3b7488018fbad5ee6a7f118cc841a8854aa26e5487,d6a6cd67a9f74f440352b60d9517101bac71312ac7780a7c85647ef7232d4c5e,0.805644,0.805644,1.1049999999999045,positive,0.1274099999999999,1.0
raw_road_curvature_onset__byx__2025_09_28_17_35_43__00001__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00001,byx,2025_09_28_17_35_43,raw_road_curvature_onset,168.65,1759081112.61,168.65,218.225,curve_left_or_positive,extreme,candidate,curve,0.0109039995851611,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759081111.61,1759081112.61,1759081112.61,1759081114.61,"vehicle,physio,eeg",True,True,eeg_large_gap;eeg_low_valid;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid;vehicle_zero_dt,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_35_43_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_35_43_eeg.csv,facc231296f1672792e40223812a82a39b208c27b27fd545c550204a1448f76b,972fe62a38db44c21cdb97d3b060f8411973efe4f072526410fec2e7dac17957,9a2efbe4599824619940b6c91680718920de1b42790fa9d00b7d96b03fb36f88,1.5706220000000002,1.5706220000000002,2.0,positive,1.5706220000000002,3.0
raw_road_curvature_onset__byx__2025_09_28_17_35_43__00002__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00002,byx,2025_09_28_17_35_43,raw_road_curvature_onset,331.46,1759081275.42,331.46,346.455,curve_right_or_negative,extreme,candidate,curve,-0.0081651092597154,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759081274.42,1759081275.42,1759081275.42,1759081277.42,"vehicle,physio,eeg",True,True,eeg_large_gap;eeg_low_valid;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid;vehicle_zero_dt,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_35_43_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_35_43_eeg.csv,facc231296f1672792e40223812a82a39b208c27b27fd545c550204a1448f76b,972fe62a38db44c21cdb97d3b060f8411973efe4f072526410fec2e7dac17957,9a2efbe4599824619940b6c91680718920de1b42790fa9d00b7d96b03fb36f88,0.1877974,0.1877974,1.9850000000000136,positive,0.1877974,0.0
raw_road_curvature_onset__byx__2025_09_28_17_35_43__00003__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00003,byx,2025_09_28_17_35_43,raw_road_curvature_onset,350.365,1759081294.325,350.365,352.15000000000003,curve_left_or_positive,weak,candidate,curve,0.0010845599853137,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759081293.325,1759081294.325,1759081294.325,1759081296.325,"vehicle,physio,eeg",True,True,eeg_large_gap;eeg_low_valid;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid;vehicle_zero_dt,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_35_43_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_35_43_eeg.csv,facc231296f1672792e40223812a82a39b208c27b27fd545c550204a1448f76b,972fe62a38db44c21cdb97d3b060f8411973efe4f072526410fec2e7dac17957,9a2efbe4599824619940b6c91680718920de1b42790fa9d00b7d96b03fb36f88,1.72212,1.72212,0.9049999999999728,positive,1.2770614,1.0
raw_road_curvature_onset__byx__2025_09_28_17_35_43__00004__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00004,byx,2025_09_28_17_35_43,raw_road_curvature_onset,502.685,1759081446.645,502.685,529.92,curve_right_or_negative,extreme,candidate,curve,-0.0060345115971183,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759081445.645,1759081446.645,1759081446.645,1759081448.645,"vehicle,physio,eeg",True,True,eeg_large_gap;eeg_low_valid;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid;vehicle_zero_dt,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_35_43_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_35_43_eeg.csv,facc231296f1672792e40223812a82a39b208c27b27fd545c550204a1448f76b,972fe62a38db44c21cdb97d3b060f8411973efe4f072526410fec2e7dac17957,9a2efbe4599824619940b6c91680718920de1b42790fa9d00b7d96b03fb36f88,0.2055992940145913,0.2055992940145913,2.0,positive,0.2055992940145913,0.0
raw_road_curvature_onset__byx__2025_09_28_17_35_43__00005__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00005,byx,2025_09_28_17_35_43,raw_road_curvature_onset,572.035,1759081515.995,572.035,581.75,curve_left_or_positive,extreme,candidate,curve,0.0196791317202514,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759081514.995,1759081515.995,1759081515.995,1759081517.995,"vehicle,physio,eeg",True,True,eeg_large_gap;eeg_low_valid;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid;vehicle_zero_dt,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_35_43_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_35_43_eeg.csv,facc231296f1672792e40223812a82a39b208c27b27fd545c550204a1448f76b,972fe62a38db44c21cdb97d3b060f8411973efe4f072526410fec2e7dac17957,9a2efbe4599824619940b6c91680718920de1b42790fa9d00b7d96b03fb36f88,-0.213803,0.213803,0.8700000000000045,negative,0.1628390898798731,6.0
