array_row,sample_id,event_uid,subject,session_stamp,anchor_time_rel_s,anchor_time_abs_s,window_config_id,vehicle_raw_relative_path,vehicle_raw_sha256,input_valid_ratio,label_valid_ratio,anchor_steer
15,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00001__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00001,byx,2025_09_28_17_35_43,168.65,1759081112.61,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,facc231296f1672792e40223812a82a39b208c27b27fd545c550204a1448f76b,1.0,1.0,-0.8822640180587769
16,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00002__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00002,byx,2025_09_28_17_35_43,331.46,1759081275.42,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,facc231296f1672792e40223812a82a39b208c27b27fd545c550204a1448f76b,1.0,1.0,-0.052534401416778564
17,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00003__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00003,byx,2025_09_28_17_35_43,350.365,1759081294.325,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,facc231296f1672792e40223812a82a39b208c27b27fd545c550204a1448f76b,1.0,1.0,-1.3597899675369263
18,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00004__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00004,byx,2025_09_28_17_35_43,502.685,1759081446.645,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,facc231296f1672792e40223812a82a39b208c27b27fd545c550204a1448f76b,1.0,1.0,-0.15341399610042572
19,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00005__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00005,byx,2025_09_28_17_35_43,572.035,1759081515.995,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,facc231296f1672792e40223812a82a39b208c27b27fd545c550204a1448f76b,1.0,1.0,-0.4611159861087799
20,raw_road_curvature_onset__byx__2025_09_28_17_46_00__00001__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_46_00__00001,byx,2025_09_28_17_46_00,138.54,1759081699.704,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_46_00_vehicle.csv,e481ab16165d90e97b5f7ad4a9b5644609e28fb96223f013026d1f1f88437463,1.0,1.0,-1.012290358543396
21,raw_road_curvature_onset__byx__2025_09_28_17_46_00__00002__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_46_00__00002,byx,2025_09_28_17_46_00,277.855,1759081839.019,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_46_00_vehicle.csv,e481ab16165d90e97b5f7ad4a9b5644609e28fb96223f013026d1f1f88437463,1.0,1.0,0.15393799543380737
22,raw_road_curvature_onset__byx__2025_09_28_17_46_00__00003__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_46_00__00003,byx,2025_09_28_17_46_00,299.825,1759081860.989,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_46_00_vehicle.csv,e481ab16165d90e97b5f7ad4a9b5644609e28fb96223f013026d1f1f88437463,1.0,1.0,0.3120649755001068
23,raw_road_curvature_onset__byx__2025_09_28_17_46_00__00004__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_46_00__00004,byx,2025_09_28_17_46_00,465.385,1759082026.549,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_46_00_vehicle.csv,e481ab16165d90e97b5f7ad4a9b5644609e28fb96223f013026d1f1f88437463,1.0,1.0,-0.02652899920940399
24,raw_road_curvature_onset__byx__2025_09_28_17_46_00__00005__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_46_00__00005,byx,2025_09_28_17_46_00,531.88,1759082093.044,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_46_00_vehicle.csv,e481ab16165d90e97b5f7ad4a9b5644609e28fb96223f013026d1f1f88437463,1.0,1.0,-0.21432599425315857
25,raw_road_curvature_onset__cwh__2025_09_26_19_23_28__00001__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_23_28__00001,cwh,2025_09_26_19_23_28,146.62,1758914755.5,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_23_28_vehicle.csv,c9ae8b2b55355449f073e1a9de5f1f183c1d5d3b724dad0ea8b7dce9a77d1812,1.0,1.0,-0.9595824480056763
26,raw_road_curvature_onset__cwh__2025_09_26_19_27_21__00001__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_27_21__00001,cwh,2025_09_26_19_27_21,117.615,1758914959.728,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_27_21_vehicle.csv,5990b24325f474f71ba9b64920ced7ea4748d301d3b46d74c85d72d84924dc63,1.0,1.0,-0.10105500370264053
27,raw_road_curvature_onset__cwh__2025_09_26_19_27_21__00002__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_27_21__00002,cwh,2025_09_26_19_27_21,143.355,1758914985.468,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_27_21_vehicle.csv,5990b24325f474f71ba9b64920ced7ea4748d301d3b46d74c85d72d84924dc63,1.0,1.0,-0.36669400334358215
28,raw_road_curvature_onset__cwh__2025_09_26_19_27_21__00003__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_27_21__00003,cwh,2025_09_26_19_27_21,309.08,1758915151.1929998,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_27_21_vehicle.csv,5990b24325f474f71ba9b64920ced7ea4748d301d3b46d74c85d72d84924dc63,1.0,1.0,-0.10524299740791321
29,raw_road_curvature_onset__cwh__2025_09_26_19_27_21__00004__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_27_21__00004,cwh,2025_09_26_19_27_21,396.5,1758915238.613,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_27_21_vehicle.csv,5990b24325f474f71ba9b64920ced7ea4748d301d3b46d74c85d72d84924dc63,1.0,1.0,-0.19826899468898773
30,raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00001__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00001,cwh,2025_09_26_19_35_47,128.625,1758915475.827,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_35_47_vehicle.csv,f62a7f66b19ff747f4e688cd8d24fbf18a0388155a0f1ab37ca87fa018478d9f,1.0,1.0,-0.5014325976371765
31,raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00002__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00002,cwh,2025_09_26_19_35_47,268.485,1758915615.6869998,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_35_47_vehicle.csv,f62a7f66b19ff747f4e688cd8d24fbf18a0388155a0f1ab37ca87fa018478d9f,1.0,1.0,-0.08395030349493027
32,raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00003__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00003,cwh,2025_09_26_19_35_47,288.505,1758915635.707,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_35_47_vehicle.csv,f62a7f66b19ff747f4e688cd8d24fbf18a0388155a0f1ab37ca87fa018478d9f,1.0,1.0,-0.19547699391841888
33,raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00004__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00004,cwh,2025_09_26_19_35_47,447.27,1758915794.472,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_35_47_vehicle.csv,f62a7f66b19ff747f4e688cd8d24fbf18a0388155a0f1ab37ca87fa018478d9f,1.0,1.0,-0.03926990181207657
34,raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00005__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00005,cwh,2025_09_26_19_35_47,524.585,1758915871.787,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_35_47_vehicle.csv,f62a7f66b19ff747f4e688cd8d24fbf18a0388155a0f1ab37ca87fa018478d9f,1.0,1.0,-0.3286449909210205
35,raw_road_curvature_onset__cwh__2025_09_26_19_45_40__00001__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_45_40__00001,cwh,2025_09_26_19_45_40,131.445,1758916071.664,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_45_40_vehicle.csv,84d62a3d6c6629280b4a509503cfcc9aca56bb2fd67cc033d64040913d12a5d4,1.0,1.0,-0.7532840967178345
36,raw_road_curvature_onset__cwh__2025_09_26_19_45_40__00002__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_45_40__00002,cwh,2025_09_26_19_45_40,266.365,1758916206.584,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_45_40_vehicle.csv,84d62a3d6c6629280b4a509503cfcc9aca56bb2fd67cc033d64040913d12a5d4,1.0,1.0,0.08447390049695969
37,raw_road_curvature_onset__cwh__2025_09_26_19_45_40__00003__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_45_40__00003,cwh,2025_09_26_19_45_40,287.15500000000003,1758916227.374,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_45_40_vehicle.csv,84d62a3d6c6629280b4a509503cfcc9aca56bb2fd67cc033d64040913d12a5d4,1.0,1.0,-0.29496103525161743
38,raw_road_curvature_onset__cwh__2025_09_26_19_45_40__00004__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_45_40__00004,cwh,2025_09_26_19_45_40,440.465,1758916380.684,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_45_40_vehicle.csv,84d62a3d6c6629280b4a509503cfcc9aca56bb2fd67cc033d64040913d12a5d4,1.0,1.0,-0.09564399719238281
39,raw_road_curvature_onset__cwh__2025_09_26_19_45_40__00005__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_45_40__00005,cwh,2025_09_26_19_45_40,516.78,1758916456.999,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_45_40_vehicle.csv,84d62a3d6c6629280b4a509503cfcc9aca56bb2fd67cc033d64040913d12a5d4,1.0,1.0,-0.44383704662323
40,raw_road_curvature_onset__cwh__2025_09_26_19_56_16__00001__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_56_16__00001,cwh,2025_09_26_19_56_16,123.39,1758916700.1420002,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_56_16_vehicle.csv,8b7c9cac7da23d7bf54d3e61d12170f5967ca715dc59a389e45fbf9008b2efa5,1.0,1.0,-0.5237730145454407
41,raw_road_curvature_onset__cwh__2025_09_26_19_56_16__00002__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_56_16__00002,cwh,2025_09_26_19_56_16,256.18,1758916832.9320002,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_56_16_vehicle.csv,8b7c9cac7da23d7bf54d3e61d12170f5967ca715dc59a389e45fbf9008b2efa5,1.0,1.0,-0.04869465157389641
42,raw_road_curvature_onset__cwh__2025_09_26_19_56_16__00003__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_56_16__00003,cwh,2025_09_26_19_56_16,276.57,1758916853.322,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_56_16_vehicle.csv,8b7c9cac7da23d7bf54d3e61d12170f5967ca715dc59a389e45fbf9008b2efa5,1.0,1.0,-0.3150320053100586
43,raw_road_curvature_onset__cwh__2025_09_26_19_56_16__00004__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_56_16__00004,cwh,2025_09_26_19_56_16,423.105,1758916999.857,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_56_16_vehicle.csv,8b7c9cac7da23d7bf54d3e61d12170f5967ca715dc59a389e45fbf9008b2efa5,1.0,1.0,-0.05777040123939514
44,raw_road_curvature_onset__cwh__2025_09_26_19_56_16__00005__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_19_56_16__00005,cwh,2025_09_26_19_56_16,502.545,1758917079.2970002,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_56_16_vehicle.csv,8b7c9cac7da23d7bf54d3e61d12170f5967ca715dc59a389e45fbf9008b2efa5,1.0,1.0,-0.32986700534820557
45,raw_road_curvature_onset__cwh__2025_09_26_20_06_19__00001__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_20_06_19__00001,cwh,2025_09_26_20_06_19,125.105,1758917304.441,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_20_06_19_vehicle.csv,df471111c5e9f3f57bc55cf9cd8c6befc78ac4d5408e5039273c5c661005f7cc,1.0,1.0,-0.8244940042495728
46,raw_road_curvature_onset__cwh__2025_09_26_20_06_19__00002__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_20_06_19__00002,cwh,2025_09_26_20_06_19,245.15,1758917424.486,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_20_06_19_vehicle.csv,df471111c5e9f3f57bc55cf9cd8c6befc78ac4d5408e5039273c5c661005f7cc,1.0,1.0,-0.010820967145264149
47,raw_road_curvature_onset__cwh__2025_09_26_20_06_19__00003__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_20_06_19__00003,cwh,2025_09_26_20_06_19,265.55,1758917444.886,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_20_06_19_vehicle.csv,df471111c5e9f3f57bc55cf9cd8c6befc78ac4d5408e5039273c5c661005f7cc,1.0,1.0,0.0876154974102974
48,raw_road_curvature_onset__cwh__2025_09_26_20_06_19__00004__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_20_06_19__00004,cwh,2025_09_26_20_06_19,406.625,1758917585.961,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_20_06_19_vehicle.csv,df471111c5e9f3f57bc55cf9cd8c6befc78ac4d5408e5039273c5c661005f7cc,1.0,1.0,-0.009075709618628025
49,raw_road_curvature_onset__cwh__2025_09_26_20_06_19__00005__pre3_label3_response_coverage,raw_road_curvature_onset__cwh__2025_09_26_20_06_19__00005,cwh,2025_09_26_20_06_19,477.035,1758917656.371,pre3_label3_response_coverage,原始车辆数据/cwh/Entity_Recording_2025_09_26_20_06_19_vehicle.csv,df471111c5e9f3f57bc55cf9cd8c6befc78ac4d5408e5039273c5c661005f7cc,1.0,1.0,-0.3127630054950714
50,raw_road_curvature_onset__gf__2025_09_26_10_03_00__00001__pre3_label3_response_coverage,raw_road_curvature_onset__gf__2025_09_26_10_03_00__00001,gf,2025_09_26_10_03_00,167.305,1758881148.1850002,pre3_label3_response_coverage,原始车辆数据/gf/Entity_Recording_2025_09_26_10_03_00_vehicle.csv,1e4232604e33cbf98c8e524d44c86abf65e3f9c0068e3630f80dfb47e73c793f,1.0,1.0,-0.6935939788818359
51,raw_road_curvature_onset__gf__2025_09_26_10_03_00__00002__pre3_label3_response_coverage,raw_road_curvature_onset__gf__2025_09_26_10_03_00__00002,gf,2025_09_26_10_03_00,324.285,1758881305.1650002,pre3_label3_response_coverage,原始车辆数据/gf/Entity_Recording_2025_09_26_10_03_00_vehicle.csv,1e4232604e33cbf98c8e524d44c86abf65e3f9c0068e3630f80dfb47e73c793f,1.0,1.0,-0.09599296748638153
52,raw_road_curvature_onset__gf__2025_09_26_10_03_00__00003__pre3_label3_response_coverage,raw_road_curvature_onset__gf__2025_09_26_10_03_00__00003,gf,2025_09_26_10_03_00,348.185,1758881329.065,pre3_label3_response_coverage,原始车辆数据/gf/Entity_Recording_2025_09_26_10_03_00_vehicle.csv,1e4232604e33cbf98c8e524d44c86abf65e3f9c0068e3630f80dfb47e73c793f,1.0,1.0,-0.20594899356365204
53,raw_road_curvature_onset__gf__2025_09_26_10_03_00__00004__pre3_label3_response_coverage,raw_road_curvature_onset__gf__2025_09_26_10_03_00__00004,gf,2025_09_26_10_03_00,552.4,1758881533.2800002,pre3_label3_response_coverage,原始车辆数据/gf/Entity_Recording_2025_09_26_10_03_00_vehicle.csv,1e4232604e33cbf98c8e524d44c86abf65e3f9c0068e3630f80dfb47e73c793f,1.0,1.0,-0.27803099155426025
54,raw_road_curvature_onset__gf__2025_09_26_10_18_49__00001__pre3_label3_response_coverage,raw_road_curvature_onset__gf__2025_09_26_10_18_49__00001,gf,2025_09_26_10_18_49,149.625,1758882078.999,pre3_label3_response_coverage,原始车辆数据/gf/Entity_Recording_2025_09_26_10_18_49_vehicle.csv,6ee51bd1c9b8e8386372885e569d42d78b31b4e7c26984fe3b746e99da155494,1.0,1.0,-0.9107130169868469
55,raw_road_curvature_onset__gf__2025_09_26_10_18_49__00002__pre3_label3_response_coverage,raw_road_curvature_onset__gf__2025_09_26_10_18_49__00002,gf,2025_09_26_10_18_49,288.495,1758882217.869,pre3_label3_response_coverage,原始车辆数据/gf/Entity_Recording_2025_09_26_10_18_49_vehicle.csv,6ee51bd1c9b8e8386372885e569d42d78b31b4e7c26984fe3b746e99da155494,1.0,1.0,-0.13020199537277222
56,raw_road_curvature_onset__gf__2025_09_26_10_18_49__00003__pre3_label3_response_coverage,raw_road_curvature_onset__gf__2025_09_26_10_18_49__00003,gf,2025_09_26_10_18_49,307.29,1758882236.664,pre3_label3_response_coverage,原始车辆数据/gf/Entity_Recording_2025_09_26_10_18_49_vehicle.csv,6ee51bd1c9b8e8386372885e569d42d78b31b4e7c26984fe3b746e99da155494,1.0,1.0,-0.4366811215877533
57,raw_road_curvature_onset__gf__2025_09_26_10_18_49__00004__pre3_label3_response_coverage,raw_road_curvature_onset__gf__2025_09_26_10_18_49__00004,gf,2025_09_26_10_18_49,477.1,1758882406.474,pre3_label3_response_coverage,原始车辆数据/gf/Entity_Recording_2025_09_26_10_18_49_vehicle.csv,6ee51bd1c9b8e8386372885e569d42d78b31b4e7c26984fe3b746e99da155494,1.0,1.0,-0.08080914616584778
58,raw_road_curvature_onset__gf__2025_09_26_10_30_12__00001__pre3_label3_response_coverage,raw_road_curvature_onset__gf__2025_09_26_10_30_12__00001,gf,2025_09_26_10_30_12,138.715,1758882750.913,pre3_label3_response_coverage,原始车辆数据/gf/Entity_Recording_2025_09_26_10_30_12_vehicle.csv,aa606fb1ecf71feef1f564dd422c382295247b323dd5beda17fc393f502341b6,1.0,1.0,-0.8419470191001892
59,raw_road_curvature_onset__gf__2025_09_26_10_30_12__00002__pre3_label3_response_coverage,raw_road_curvature_onset__gf__2025_09_26_10_30_12__00002,gf,2025_09_26_10_30_12,277.77500000000003,1758882889.9730003,pre3_label3_response_coverage,原始车辆数据/gf/Entity_Recording_2025_09_26_10_30_12_vehicle.csv,aa606fb1ecf71feef1f564dd422c382295247b323dd5beda17fc393f502341b6,1.0,1.0,0.10140399634838104
60,raw_road_curvature_onset__gf__2025_09_26_10_30_12__00003__pre3_label3_response_coverage,raw_road_curvature_onset__gf__2025_09_26_10_30_12__00003,gf,2025_09_26_10_30_12,296.205,1758882908.403,pre3_label3_response_coverage,原始车辆数据/gf/Entity_Recording_2025_09_26_10_30_12_vehicle.csv,aa606fb1ecf71feef1f564dd422c382295247b323dd5beda17fc393f502341b6,1.0,1.0,-0.40386900305747986
61,raw_road_curvature_onset__gf__2025_09_26_10_30_12__00004__pre3_label3_response_coverage,raw_road_curvature_onset__gf__2025_09_26_10_30_12__00004,gf,2025_09_26_10_30_12,461.335,1758883073.5330002,pre3_label3_response_coverage,原始车辆数据/gf/Entity_Recording_2025_09_26_10_30_12_vehicle.csv,aa606fb1ecf71feef1f564dd422c382295247b323dd5beda17fc393f502341b6,1.0,1.0,-0.2876296043395996
